row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type
1.0,655.2524567,8.734482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,847000000.0,0.0,0.0,109000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,D
2.0,591.2584932,8.815949478,68200000.0,4709378.087,254145.55,19300000.0,14700000.0,2811561.067,17700000.0,25100000.0,5619185.514,6663405.105,14000000.0,62100000.0,2251164.148,8248956.521,0.0,2077287.573,3250893.578,0.0,0.0,674910.2854,8809729.914,1687891.885,0.0,576000000.0,0.0,0.0,2440000000.0,0.0,0.0,0.0,6439611.312,26000000.0,208000000.0,306576.1302,325000000.0,5927013.087,0.0,0.0,1807985.442,909993.9112,1180000000.0,452000000.0,8154871.524,0.0,39000000.0,0.0,396000000.0,0.0,672670.2882,0.0,0.0,0.0,0.0,0.0,2052768.167,0.0,20,0,D
3.0,657.2677765,8.8946756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97400000.0,0.0,0.0,118000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0,D
5.0,649.3002913,10.66596789,15400000.0,16000000.0,555498.9456,6457810.9,1537601.726,0.0,12200000.0,104000000.0,2715672.392,0.0,51200000.0,18100000.0,794179.8521,1761337.917,0.0,0.0,5561677.132,0.0,806474.1358,0.0,1388519.137,0.0,0.0,54400000.0,7030045.351,0.0,3810075.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,D
6.0,629.2381856,7.7174197,119000000.0,4538744.28,6504684.69,504000000.0,4795255.861,3428236.662,70300000.0,0.0,0.0,0.0,459000000.0,55200000.0,0.0,10900000.0,0.0,0.0,19200000.0,0.0,0.0,0.0,4278957.322,5021816.458,0.0,58400000.0,7110379.747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D
7.0,647.2846507,10.00881596,1310000000.0,933000000.0,168000000.0,103000000.0,89600000.0,255925.358,643000000.0,18400000.0,445000000.0,0.0,1690000000.0,1970000000.0,0.0,49600000.0,2199744.062,0.0,290000000.0,1664660.105,0.0,0.0,0.0,19400000.0,0.0,62600000.0,0.0,0.0,9713000.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832380.35,0.0,0.0,0.0,0.0,3472057.242,0.0,0.0,0.0,3251722.78,0.0,0.0,0.0,0.0,6905480.411,0.0,0.0,0.0,0.0,0.0,14700000.0,0.0,13,0,D
8.0,643.2881368,10.84485533,396669.9008,488109.3504,0.0,0.0,188933.6071,0.0,0.0,676778.9812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000000.0,0.0,0.0,1710000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,D
9.0,603.222277,6.7554025,2380546.575,4175096.598,0.0,283000000.0,2622250.33,0.0,70200000.0,60500000.0,0.0,0.0,68400000.0,101000000.0,0.0,1959628.333,0.0,0.0,50400000.0,0.0,0.0,0.0,0.0,4851742.828,0.0,44100000.0,254000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745728.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,D
10.0,637.3365603,12.58025241,0.0,2830324.419,0.0,0.0,1902678.706,1457121.956,7999909.393,5415838.301,2862819.59,0.0,0.0,107000000.0,0.0,1351099.211,0.0,913784.873,11100000.0,0.0,8365641.525,0.0,1542323.237,0.0,0.0,47400000.0,0.0,0.0,265000000.0,0.0,0.0,0.0,0.0,7213201.568,211000000.0,0.0,32100000.0,0.0,0.0,0.0,0.0,0.0,400292.9101,33700000.0,0.0,0.0,5138474.775,0.0,78600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4164808.11,0.0,19,0,D
13.0,591.2589092,7.810607075,416424.8541,0.0,0.0,271241.4859,175436.0071,0.0,0.0,0.0,0.0,0.0,0.0,346826.3437,0.0,182268.4344,0.0,0.0,0.0,0.0,0.0,0.0,245751.7878,0.0,0.0,29200000.0,0.0,0.0,168000000.0,0.0,0.0,0.0,0.0,947334.055,12300000.0,0.0,13700000.0,0.0,0.0,0.0,0.0,0.0,19300000.0,11800000.0,246616.7961,0.0,849753.7922,0.0,11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D
15.0,781.3586731,13.760427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,D
16.0,775.3679716,10.23628177,3575075.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,611928.8588,0.0,0.0,0.0,82500000.0,0.0,0.0,0.0,0.0,6380419.218,0.0,1194476.847,23300000.0,0.0,0.0,9040970.941,0.0,0.0,6996557.122,0.0,0.0,0.0,0.0,0.0,0.0,4048369.318,16800000.0,0.0,0.0,0.0,0.0,0.0,0.0,3627873.601,0.0,0.0,1229502.768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000000.0,8,22,MD
19.0,1326.523438,8.7321093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D
20.0,970.4214134,8.989209,0.0,0.0,0.0,4225507.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5488395.887,0.0,0.0,0.0,0.0,1440324.583,0.0,0.0,0.0,12700000.0,0.0,0.0,19200000.0,0.0,0.0,8248074.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514577.1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6310115.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,22,MD
23.0,637.2415924,8.734482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,2131344.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,D
31.0,605.2381226,7.0051277,0.0,0.0,0.0,0.0,0.0,0.0,13300000.0,87300000.0,0.0,0.0,59800000.0,0.0,0.0,1261447.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,D
32.0,792.3946505,10.24373891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61000000.0,0.0,0.0,0.0,0.0,4033430.55,2185321.339,0.0,13000000.0,0.0,0.0,4540547.97,0.0,17200000.0,4885940.394,0.0,0.0,0.0,0.0,14800000.0,0.0,1526551.276,9449974.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39000000.0,9,24,MD
35.0,759.3734538,13.57137217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5160331.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13100000.0,0.0,0.0,1022381.014,0.0,0.0,5130401.603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2759556.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835042.728,6,17,MD
37.0,655.2533569,9.231011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,D
38.0,481.1847,8.7669821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159588.3998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D
44.0,593.2377319,6.6256909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728023.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D
45.0,649.2999968,10.20208535,26200000.0,4179944.422,0.0,1423531.201,6078751.104,755175.8253,28600000.0,33100000.0,1350885.7,0.0,108000000.0,3339055.459,226064.9515,3057313.211,0.0,0.0,0.0,0.0,6087085.776,0.0,30600000.0,9587782.462,0.0,12900000.0,0.0,0.0,13200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,D
59.0,609.2694009,8.25208745,2312444.952,0.0,0.0,972312.8597,288477.3457,0.0,1695859.399,943611.9031,0.0,235473.0308,0.0,1332356.329,0.0,1317913.832,0.0,802368.8654,531652.1546,0.0,0.0,235136.5099,0.0,0.0,0.0,11400000.0,25200000.0,0.0,105000000.0,0.0,358700.9614,0.0,0.0,1265943.652,6810585.134,0.0,14400000.0,0.0,0.0,0.0,0.0,0.0,61600000.0,34900000.0,0.0,0.0,7339402.005,0.0,43300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,D
62.0,850.4003092,8.055728867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9784699.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8969766.806,0.0,0.0,167000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996461.1821,10200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6256313.642,8,19,MD
