row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
15,781.3586731,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,D,C46H52O11,possibly undescribed,none,[M+H]+,none
19,1326.523438,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D,C76H79O20N1,possibly undescribed,none,[M+NH4]+,none
23,637.2415924,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000000.0,0.0,0.0,2131344.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,D,C38H36O9,possibly undescribed,none,[M+H-H2O]+,"1, 23"
31,605.2381226,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13300000.0,87300000.0,0.0,0.0,59800000.0,0.0,0.0,1261447.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0,D,C34H36O10,possibly known,"3-hydrogenkwadaphin, yuanhuatine (yuanhuatin)",[M+H]+,none
37,655.2533569,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,D,C38H38O10,possibly undescribed,(DA20)std_mezerein isomer,[M+H]+,none
38,481.1847,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159588.3998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D,C27H28O8,possibly undescribed,none,[M+H]+,none
44,593.2377319,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728023.426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,D,C33H36O10,possibly undescribed,none,[M+H]+,none
45,649.2999968,10.2,26200000.0,4179944.422,0.0,1423531.201,6078751.104,755175.8253,28600000.0,33100000.0,1350885.7,0.0,108000000.0,3339055.459,226064.9515,3057313.211,0.0,0.0,0.0,0.0,6087085.776,0.0,30600000.0,9587782.462,0.0,12900000.0,0.0,0.0,13200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0,D,C37H44O10,possibly undescribed,(DA18)std_yuanhuacine isomer,[M+H-H2O]+,"45, 8069"
59,609.2694009,8.3,2312444.952,0.0,0.0,972312.8597,288477.3457,0.0,1695859.399,943611.9031,0.0,235473.0308,0.0,1332356.329,0.0,1317913.832,0.0,802368.8654,531652.1546,0.0,0.0,235136.5099,0.0,0.0,0.0,11400000.0,25200000.0,0.0,105000000.0,0.0,358700.9614,0.0,0.0,1265943.652,6810585.134,0.0,14400000.0,0.0,0.0,0.0,0.0,0.0,61600000.0,34900000.0,0.0,0.0,7339402.005,0.0,43300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,D,C34H40O10,possibly known,(DA12)std_genkwanine H,[M+H]+,none
64,589.2426758,8.8,8552750.264,0.0,0.0,14700000.0,0.0,0.0,0.0,0.0,0.0,4408618.444,0.0,18800000.0,0.0,0.0,0.0,1012667.304,3683774.349,0.0,0.0,0.0,0.0,0.0,0.0,11700000.0,1094980.917,0.0,8543794.157,0.0,0.0,0.0,0.0,5454763.037,5245760.984,0.0,6081442.354,0.0,0.0,0.0,0.0,0.0,15400000.0,4805281.9,0.0,0.0,1714062.55,0.0,27200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D,C34H36O9,possibly undescribed,none,[M+H]+,none
69,529.2796797,9.5,443000000.0,149000000.0,0.0,2511430.635,4816002.84,14400000.0,32300000.0,11600000.0,1528258.987,1380598.147,605000000.0,32600000.0,9349603.644,22800000.0,0.0,0.0,1107313.411,0.0,0.0,0.0,480643.791,0.0,0.0,10200000.0,23700000.0,0.0,28100000.0,19600000.0,124000000.0,720000000.0,3433865.808,23500000.0,4040678.236,0.0,203000000.0,0.0,303339.3,2402805.255,0.0,0.0,0.0,0.0,434836.2304,0.0,13200000.0,0.0,0.0,0.0,644126.0514,16100000.0,69600000.0,0.0,0.0,0.0,1886185.496,0.0,12,0,D,C30H40O8,possibly known,(DA03)std_excoecariatoxin,[M+H]+,none
71,755.3424988,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7003271.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,D,C44H50O11,possibly undescribed,none,[M+H]+,none
74,729.3261719,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8510421.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,D,C42H48O11,possibly undescribed,none,[M+H]+,none
81,533.2157593,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7304096.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,D,C31H32O8,possibly undescribed,none,[M+H]+,none
87,753.3264771,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8170081.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,D,C44H48O11,possibly undescribed,none,[M+H]+,"359, 87"
