row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
39,953.394165,9,238000000,DA56_daphneodorin A (DOSO-K),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)CCCC5O)C14)O2,MD,39,22,MD,C53H60O16,possibly known,std_daphneodorin A (DA56),[M+H]+,none
40,787.331604,10.9,16500000,DA53_daphnepedunin F (TDPE-39),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(OC(=O)c6ccccc6)CC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,7,14,MD,C44H50O13,possibly known,std_daphnepedunin F (DA53),[M+H]+,none
41,667.3114014,10.7,8148135.142,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,24,MD,C37H46O11,possibly known,"std_stelleralide C (DA43), std_daphnepedunin E (DA44)",[M+H]+,none
42,645.3621521,10.8,1310000000,DA40_edgeworthianin D (ECH-1),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(C)C2OC(C)=O)C56,MD,10,11,MD,C36H52O10,possibly known,std_edgeworthianin D (DA40),[M+H]+,none
43,549.3053894,5.4,32900000,DA36_daphnepedunin G (TDPE-41),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,19,MD,C30H44O9,possibly known,"std_daphnepedunin A (DA35), std_daphnepedunin H (DA37), std_daphnepedunin B (DA34), std_daphnepedunin G (DA36)",[M+H]+,none
44,745.37937,11.6,1130000000,DA48_edgeworthianin B (ECH-4),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2OC(C)=O,MD,6,10,MD,C40H56O13,possibly known,std_edgeworthianin B (DA48),[M+H]+,none
45,547.2891235,9.3,701000000,DA32_pimelotide A (NSC-7),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,25,39,MD,C30H42O9,possibly known,"std_pimelotide C (DA33), std_pimelotide A (DA32)",[M+H]+,none
46,779.3619995,12.1,760000000,DA52_edgeworthianin C (ECH-5),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)c1ccccc1)C2OC(C)=O,MD,10,13,MD,C43H54O13,possibly known,std_edgeworthianin C (DA52),[M+H]+,none
47,703.3681641,10.2,89000000,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD,13,22,MD,C38H54O12,possibly known,std_edgeworthianin F (DA46),[M+H]+,none
48,759.394165,12.3,136000000,DA49_edgeworthianin G (ECH-6),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)CC)C2OC(C)=O,MD,9,13,MD,C41H58O13,possibly known,std_edgeworthianin G (DA49),[M+H]+,none
