row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,Unnamed: 7,D Score,MD Score,type
24,721.3204651,9.77,652000000,DA27_acutilobin D (DOL-I),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)c(OC)c1,D,,12,0,D
25,549.3056641,5.58,652000000,DA35_daphnepedunin A (TDPE-17),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD,,12,24,MD
26,775.3684082,10.24,34600000,DA51_gnidimacrin (DOSO-B),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,,24,17,MD
27,775.3675232,9.57,83000000,DA50_stelleralide H (WLI-j),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)C(C(C)CCCCCCC5O)C14)O2,MD,,28,24,MD
28,693.3251953,7.99,503000000,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D,,18,0,D
29,653.3314209,9.15,2110000000,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D,,9,0,D
30,737.3158569,5.4,124000000,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D,,18,0,D
31,549.3059387,5.98,32700000,DA34_daphnepedunin B (TDPE-27),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C(O)(C(=O)C6(C)O)C(O)C3(CO)OC3C4C1O5)O2,MD,,17,20,MD
32,653.3320313,10.48,18800000,DA41_wikstroelide F (TDPE-20),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,,17,16,MD
33,519.2951965,8.36,1590000000,DA29_daphnepedunin C (TDPE-32),C=C(C)C12CC(C)C34OC5(CCCCCCCCC6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,,0,17,MD
