Latin,Family,Species,Genus,PlotSampled,ScottyCreek,WindRiver,CedarBreaks,TysonResearchCenter,MichiganBigWoods,SCBI,SERC
Acer_rubrum,Sapindaceae,ACERRU,ACER,TysonResearch,0,0,0,1,0,0,0
Acer_rubrum,Sapindaceae,ACERRU,ACER,Michigan,0,0,0,0,1,0,0
Acer_saccharum,Sapindaceae,ACERS2,ACER,Michigan,0,0,0,0,1,0,0
Acer_saccharum,Sapindaceae,ACERS2,ACER,TysonResearch,0,0,0,1,0,0,0
Ailanthus_altissima,Simaroubaceae,AILAAL,AILA,SCBI,0,0,0,0,0,1,0
Ailanthus_altissima,Simaroubaceae,AILAAL,AILA,SERC,0,0,0,0,0,0,1
Ailanthus_altissima,Simaroubaceae,AILAAL,AILA,TysonResearch,0,0,0,1,1,0,0
Hamamelis_virginianus,Hamamelidaceae,HAMAVI,HAMA,SCBI,0,0,0,0,0,1,0
Hamamelis_virginianus,Hamamelidaceae,HAMAVI,HAMA,Michigan,0,0,0,0,1,0,0
Liquidambar_styraciflua,Altingiaceae,LIQUST,LIQU,SERC,0,0,0,0,0,0,1
Ribes_cereum,Grossulariaceae,RIBECE,RIBE,CedarBreaks,0,0,1,0,0,0,0
Ribes_montiginum,Grossulariaceae,RIBEMO,RIBE,CedarBreaks,0,0,1,0,0,0,0
Ribes_cynosbati,Grossulariaceae,RIBECY,RIBE,Michigan,0,0,0,0,1,0,0
Toxicodendron_vernix,Anacardiaceae,TOXIVE,TOXI,Michigan,0,0,0,0,1,0,0
Tilia_americana,Malvaceae,TILIAM,TILI,SCBI,0,0,0,0,0,1,0
Tilia_americana,Malvaceae,TILIAM,TILI,SERC,0,0,0,0,0,0,1
Tilia_americana,Malvaceae,TILIAM,TILI,TysonResearch,0,0,0,1,0,0,0
Tilia_americana,Malvaceae,TILIAM,TILI,Michigan,0,0,0,0,1,0,0
Zanthoxylum_americanum,Rutaceae,ZANTAM,ZANT,Michigan,0,0,0,0,1,0,0
Aralia_spinosa,Araliaceae,ARALSP,ARAL,SERC,0,0,0,0,0,0,1
Cephalanthus_occidentalis,Rubiaceae,CEPHOC,CEPH,SERC,0,0,0,0,0,0,1
Chionanthus_virginicus,Oleaceae,CHIOVI,CHIO,SCBI,0,0,0,0,0,1,0
Fraxinus_americana,Oleaceae,FRAXAM,FRAX,SCBI,0,0,0,0,0,1,1
Fraxinus_americana,Oleaceae,FRAXAM,FRAX,TysonResearch,0,0,0,1,0,0,0
Fraxinus_americana,Oleaceae,FRAXAM,FRAX,Michigan,0,0,0,0,1,0,0
Fraxinus_nigra,Oleaceae,FRAXNI,FRAX,SCBI,0,0,0,0,0,1,0
Fraxinus_pennsylvanica,Oleaceae,FRAXPE,FRAX,SCBI,0,0,0,0,0,1,0
Fraxinus_pennsylvanica,Oleaceae,FRAXPE,FRAX,SERC,0,0,0,0,0,0,1
Ilex_opaca,Aquifoliaceae,ILEXOP,ILEX,SERC,0,0,0,0,0,0,1
Ilex_verticillata,Aquifoliaceae,ILEXVE,ILEX,SERC,0,0,0,0,0,0,1
Ilex_verticillata,Aquifoliaceae,ILEXVE,ILEX,SCBI,0,0,0,0,0,1,0
Ilex_verticillata,Aquifoliaceae,ILEXVE,ILEX,Michigan,0,0,0,0,1,0,0
Ligustrum_sp,Oleaceae,LIGUS1,LIGU,SERC,0,0,0,0,0,0,1
Lonicera_maackii,Caprifoliaceae,LONIMA,LONI,SCBI,0,0,0,0,0,1,1
Lonicera_maackii,Caprifoliaceae,LONIMA,LONI,TysonResearch,0,0,0,1,0,0,0
Lonicera_sp,Caprifoliaceae,LONISP,LONI,Michigan,0,0,0,0,1,0,0
Nyssa_sylvatica,Cornaceae,NYSSSY,NYSS,SCBI,0,0,0,0,0,1,1
Paulownia_tomentosa,Paulowniaceae,PAULTO,PAUL,SCBI,0,0,0,0,0,1,0
Paulownia_tomentosa,Paulowniaceae,PAULTO,PAUL,SERC,0,0,0,0,0,0,1
Sambucus_canadensis,Adoxaceae,SAMBCA,SAMB,SCBI,0,0,0,0,0,1,0
Sambucus_canadensis,Adoxaceae,SAMBCA,SAMB,Michigan,0,0,0,0,1,0,0
Sambucus_nigra,Adoxaceae,SAMBNI,SAMB,SERC,0,0,0,0,0,0,1
Sambucus_racemosa,Adoxaceae,SAMBRA,SAMB,CedarBreaks,0,0,1,0,0,0,0
Viburnum_acerifolium,Adoxaceae,VIBUAC,VIBU,SERC,0,0,0,0,0,0,1
Viburnum_dentatum,Adoxaceae,VIBUDE,VIBU,SERC,0,0,0,0,0,0,1
Viburnum_acerifolium,Adoxaceae,VIBUAC,VIBU,SCBI,0,0,0,0,0,1,0
Viburnum_prunifolium,Adoxaceae,VIBUPR,VIBU,SCBI,0,0,0,0,0,1,1
Viburnum_recognitum,Adoxaceae,VIBURE,VIBU,SCBI,0,0,0,0,0,1,0
Viburnum_rufidulum,Adoxaceae,VIBURU,VIBU,TysonResearch,0,0,0,1,0,0,0
Abies_bifolia,Pinaceae,ABIEBI,ABIE,CedarBreaks,0,0,1,0,0,0,0
Abies_amabilis,Pinaceae,ABIEAM,ABIE,Windriver,0,1,0,0,0,0,0
Abies_grandis,Pinaceae,ABIEGR,ABIE,Windriver,0,1,0,0,0,0,0
Larix_laricina,Pinaceae,LARILA,LARI,ScottyCreek,1,0,0,0,0,0,0
Picea_engelmannii,Pinaceae,PICEEN,PICE,CedarBreaks,0,0,1,0,0,0,0
Picea_glauca,Pinaceae,PICEGL,PICE,ScottyCreek,1,0,0,0,0,0,0
Picea_mariana,Pinaceae,PICEMA,PICE,ScottyCreek,1,0,0,0,0,0,0
Picea_pungens,Pinaceae,PICEPU,PICE,CedarBreaks,0,0,1,0,0,0,0
Pinus_banksiana,Pinaceae,PINUBA,PINU,ScottyCreek,1,0,0,0,0,0,0
Pinus_flexilis,Pinaceae,PINUFL,PINU,CedarBreaks,0,0,1,0,0,0,0
Pinus_longaeva,Pinaceae,PINULO,PINU,CedarBreaks,0,0,1,0,0,0,0
Pinus_pungens,Pinaceae,PINUPU,PINU,SCBI,0,0,0,0,0,1,0
Pinus_strobus,Pinaceae,PINUST,PINU,SCBI,0,0,0,0,0,1,0
Pinus_taeda,Pinaceae,PINUTA,PINU,SERC,0,0,0,0,0,0,1
Pinus_virginiana,Pinaceae,PINUVI,PINU,SCBI,0,0,0,0,0,1,0
Pinus_virginiana,Pinaceae,PINUVI,PINU,SERC,0,0,0,0,0,0,1
Pseudotsuga_menziesii,Pinaceae,PSEUME,PSEU,CedarBreaks,0,0,1,0,0,0,0
Pseudotsuga_menziesii,Pinaceae,PSEUME,PSEU,Windriver,0,1,0,0,0,0,0
Tsuga_heterophylla,Pinaceae,TSUGHE,TSUG,Windriver,0,1,0,0,0,0,0
Juniperus_communis,Cupressaceae,JUNICO,JUNI,Michigan,0,0,0,0,1,0,0
Juniperus_communis,Cupressaceae,JUNICO,JUNI,CedarBreaks,0,0,1,0,0,0,0
Juniperus_scopulorum,Cupressaceae,JUNISC,JUNI,CedarBreaks,0,0,1,0,0,0,0
Juniperus_virginiana,Cupressaceae,JUNIVI,JUNI,Michigan,0,0,0,1,1,0,0
Juniperus_virginiana,Cupressaceae,JUNIVI,JUNI,SCBI,0,0,0,0,0,1,0
Juniperus_virginiana,Cupressaceae,JUNIVI,JUNI,SERC,0,0,0,0,0,0,1
Taxus_brevifolia,Taxaceae,TAXUBR,TAXU,Windriver,0,1,0,0,0,0,0
Thuja_plicata,Cupressaceae,THUJPL,THUJ,Windriver,0,1,0,0,0,0,0
