row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
48221,667.3117,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79440.39,0.0,0.0,0.0,0.0,15,0,D,C37H46O11,possibly known,"genkwadane H, tianchaterpene B, yuanhuaoate E, yuanhuakine A, daphgenkin A, daphnane-type diterpene ester-7 (daphgenkin B)",[M+H]+,none,C10H10O4,C27H28O8 / C17H18O4,860.0 / 3300.0,0.0096,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,15000.0 / 20000.0,0.1361,none,none,none,none,C7H6O2,C37H46O11 / C30H40O9,7200.0 / 4300.0,0.0382
48334,605.2384,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230566.19,0.0,0.0,0.0,0.0,21,0,D,C34H36O10,possibly known,"3-hydrogenkwadaphin, yuanhuatine (yuanhuatin)",[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,9500.0 / 17000.0,0.0846,none,none,none,none,none,none,none,none,C3H4O2,C20H22O5 / C17H18O3,24000.0 / 23000.0,0.2254,none,none,none,none,C7H6O2,C27H26O6 / C20H20O4,9500.0 / 43000.0,0.1153
48722,653.3325,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97389.59,0.0,0.0,0.0,0.0,14,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,1500.0 / 2600.0,0.0133,none,none,none,none,none,none,none,none,C3H4O2,C20H26O5 / C17H22O3,4000.0 / 2800.0,0.0251,none,none,none,none,C7H6O2,C37H44O8 / C30H38O6,2700.0 / 7600.0,0.0264
48816,545.2747,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40590.105,0.0,0.0,0.0,0.0,18,0,D,C30H40O9,possibly known,tianchaterpene E,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,1600.0 / 3900.0,0.015,none,none,none,none,none,none,none,none
49077,389.1937,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152509.95,18132.244,0.0,0.0,0.0,8,0,D,C4H36O19,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,110000.0 / 5400.0,0.2051,C2H4O2,C22H26O5 / C20H22O3,4900.0 / 110000.0,0.203,none,none,none,none
49322,591.2585,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84479.52,0.0,0.0,0.0,0.0,9,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,4700.0 / 69000.0,0.1342,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,9400.0 / 69000.0,0.1555,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,4700.0 / 9400.0,0.0423
49367,655.348,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49157.78,0.0,0.0,0.0,0.0,15,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,1500.0 / 3500.0,0.0139,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,5000.0 / 3500.0,0.0314,none,none,none,none,C7H6O2,C37H46O8 / C30H40O6,4600.0 / 9000.0,0.0413
49400,667.3116,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96480.07,0.0,0.0,0.0,0.0,20,0,D,C37H46O11,possibly known,"genkwadane H, tianchaterpene B, yuanhuaoate E, yuanhuakine A, daphgenkin A, daphnane-type diterpene ester-7 (daphgenkin B)",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,1700.0 / 7600.0,0.0205,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,19000.0 / 7600.0,0.0716,none,none,none,none,C7H6O2,C37H44O10 / C30H38O8,6900.0 / 5700.0,0.0529
49487,655.3482,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83486.734,0.0,0.0,0.0,0.0,11,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,6700.0 / 4500.0,0.0402,none,none,none,none,C7H6O2,C37H46O8 / C30H40O6,2600.0 / 9100.0,0.0277
49562,609.2696,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329900.97,0.0,0.0,0.0,0.0,23,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,63000.0 / 64000.0,0.6252,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,53000.0 / 64000.0,0.4924,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,63000.0 / 53000.0,0.4947
49750,389.1959,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273873.47,0.0,0.0,0.0,0.0,7,0,D,C22H28O6,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,160000.0 / 9600.0,0.3057,C2H4O2,C22H26O5 / C20H22O3,7300.0 / 160000.0,0.2961,none,none,none,none
49759,371.1853,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63961.324,0.0,0.0,0.0,0.0,10,0,D,C22H26O5,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,46000.0 / 1300.0,0.0818,C2H4O2,C22H26O5 / C20H22O3,6900.0 / 46000.0,0.1067,none,none,none,none
49878,585.2697,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119090.17,0.0,0.0,0.0,0.0,15,0,D,C32H40O10,possibly known,kirkinine D,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H18O4 / C17H14O2,6300.0 / 9600.0,0.0562,none,none,none,none,none,none,none,none
49881,653.3324,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41480.523,0.0,0.0,0.0,0.0,7,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,820.0 / 2300.0,0.008,none,none,none,none,none,none,none,none
49901,403.1751,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67735.086,0.0,0.0,0.0,0.0,7,0,D,C22H26O7,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C2H4O2,C22H26O7 / C20H22O5,4000.0 / 53000.0,0.1048,none,none,none,none
50084,609.2697,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189922.22,0.0,0.0,0.0,0.0,25,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,43000.0 / 8000.0,0.1075,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,46000.0 / 18000.0,0.1707,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,43000.0 / 26000.0,0.2311
50182,587.2853,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38360.15,0.0,0.0,0.0,0.0,13,0,D,C32H42O10,possibly known,"yuanhuadine (yuanhuadin, synaptolepis factor K4), isoyuanhuadine (isoyuanhuadin), yuanhuamine A, tianchaterpene D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,3900.0 / 3300.0,0.0309,C2H4O2,C22H20O5 / C20H16O3,940.0 / 1000.0,0.0091,none,none,none,none
50239,591.259,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550480.5,0.0,0.0,0.0,0.0,20,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,12000.0 / 17000.0,0.1078,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,45000.0 / 27000.0,0.24,C2H4O2,C22H18O1 / C20H22O3,3100.0 / 45000.0,0.0877,C7H6O2,C27H28O5 / C20H22O3,8000.0 / 45000.0,0.1106
50688,587.2852,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794129.4,0.0,0.0,0.0,0.0,16,0,D,C32H42O10,possibly known,"yuanhuadine (yuanhuadin, synaptolepis factor K4), isoyuanhuadine (isoyuanhuadin), yuanhuamine A, tianchaterpene D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H18O4 / C17H14O2,53000.0 / 34000.0,0.3028,C2H4O2,C22H24O7 / C20H20O5,5900.0 / 40000.0,0.0923,none,none,none,none
51303,601.301,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58597.0,0.0,0.0,0.0,0.0,13,0,D,C33H44O10,possibly known,yuanhuahine,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,7200.0 / 5400.0,0.049,none,none,none,none,none,none,none,none
51371,409.3102,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37771.953,88038.35,9,0,D,C28H40O2,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51510,637.3375,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38191.305,0.0,0.0,0.0,0.0,6,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,2200.0 / 1700.0,0.0155,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,3600.0 / 1700.0,0.0154,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,2200.0 / 3600.0,0.0196
51668,647.2854,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51548.234,0.0,0.0,0.0,0.0,8,0,D,C37H42O10,possibly undescribed,"(DA16)std_yuanhuajine isomer, (DA17)std_gniditrin isomer",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,2900.0 / 2700.0,0.0261,none,none,none,none,none,none,none,none
51751,615.3166,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27303.006,0.0,0.0,0.0,0.0,9,0,D,C34H46O10,possibly undescribed,(DA13)std_wikstroelide H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,3300.0 / 2200.0,0.0196,none,none,none,none,none,none,none,none
51841,615.3166,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53191.816,0.0,0.0,0.0,0.0,13,0,D,C34H46O10,possibly undescribed,(DA13)std_wikstroelide H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,6300.0 / 5900.0,0.0572,none,none,none,none,none,none,none,none
51890,653.3324,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60861.62,0.0,0.0,0.0,0.0,18,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,8600.0 / 9400.0,0.0827,none,none,none,none,C7H6O2,C37H46O9 / C30H40O7,860.0 / 3300.0,0.0096
51900,649.301,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36095.67,0.0,0.0,0.0,0.0,13,0,D,C37H44O10,possibly undescribed,(DA18)std_yuanhuacine isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,3500.0 / 4600.0,0.0318,none,none,none,none,C7H6O2,C27H22O5 / C20H16O3,860.0 / 1300.0,0.0077
51985,653.3325,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156709.67,0.0,0.0,0.0,0.0,17,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C39H56O8 / C30H38O6,6800.0 / 14000.0,0.0615,C3H4O2,C20H24O4 / C17H20O2,12000.0 / 18000.0,0.1071,none,none,none,none,C7H6O2,C37H48O10 / C30H42O8,50000.0 / 2500.0,0.0934
52168,649.3011,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530770.75,0.0,0.0,0.0,0.0,16,0,D,C37H44O10,possibly undescribed,(DA18)std_yuanhuacine isomer,[M+H]+,none,C10H10O4,C27H24O6 / C17H14O2,5600.0 / 13000.0,0.0518,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,47000.0 / 45000.0,0.4408,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,5600.0 / 60000.0,0.1234
52336,655.3482,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127004.89,0.0,0.0,0.0,0.0,23,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,20000.0 / 28000.0,0.18,none,none,none,none,C7H6O2,C37H50O10 / C30H44O8,50000.0 / 2300.0,0.0926
52460,655.3485,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145059.48,0.0,0.0,0.0,0.0,23,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none,none,none,none,none,none,none,none,none,C9H18O2,C39H58O8 / C30H40O6,1800.0 / 30000.0,0.0573,C3H4O2,C20H24O4 / C17H20O2,21000.0 / 22000.0,0.2054,none,none,none,none,C7H6O2,C37H50O10 / C30H44O8,57000.0 / 2400.0,0.1046
52650,635.3219,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116853.52,0.0,0.0,0.0,0.0,11,0,D,C37H46O9,possibly known,acutilonine F,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,4900.0 / 39000.0,0.086,none,none,none,none,C7H6O2,C27H32O3 / C20H26O5,1200.0 / 2100.0,0.0107
52712,653.3325,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47801.562,0.0,0.0,0.0,0.0,13,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,8600.0 / 6300.0,0.0569,none,none,none,none,C7H6O2,C37H46O9 / C30H40O7,1900.0 / 4600.0,0.0178
52854,465.2998,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63615.875,104069.52,6,0,D,C30H40O4,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52874,635.3218,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57034.812,0.0,0.0,0.0,0.0,11,0,D,C37H46O9,possibly known,acutilonine F,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,2600.0 / 22000.0,0.0477,none,none,none,none,C7H6O2,C27H32O3 / C20H26O5,1100.0 / 1500.0,0.0099
53348,637.3376,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159315.31,0.0,0.0,0.0,0.0,14,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none,C10H20O2,C27H34O3 / C17H14O1,17000.0 / 1900.0,0.0364,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,13000.0 / 55000.0,0.1521,none,none,none,none,C7H6O2,C37H48O9 / C30H42O7,34000.0 / 7000.0,0.0885
53348,637.3376,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159315.31,0.0,0.0,0.0,0.0,14,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none,C10H10O4,C27H28O5 / C17H18O1,1800.0 / 5700.0,0.0184,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,13000.0 / 55000.0,0.1521,none,none,none,none,C7H6O2,C37H48O9 / C30H42O7,34000.0 / 7000.0,0.0885
53854,637.3376,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103194.44,0.0,0.0,0.0,0.0,15,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,5700.0 / 25000.0,0.068,none,none,none,none,C7H6O2,C37H48O9 / C30H42O7,14000.0 / 3400.0,0.0392
