row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
30946,505.2434,6.5,0.0,0.0,0.0,0.0,0.0,0.0,252016.34,352467.62,0.0,0.0,0.0,0.0,22,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,5800.0 / 45000.0,0.0999,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,37000.0 / 45000.0,0.3431,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,5800.0 / 37000.0,0.0871
30963,329.174,6.5,0.0,0.0,0.0,0.0,0.0,0.0,60590.76,81602.62,0.0,4493.6504,0.0,0.0,8,0,D,C20H24O4,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O3 / C17H18O1,23000.0 / 2900.0,0.0507,none,none,none,none,none,none,none,none
34525,469.2221,7.1,0.0,0.0,0.0,0.0,0.0,0.0,40779.594,82072.87,0.0,0.0,0.0,0.0,12,0,D,C27H32O7,possibly undescribed,none,[M+H-H2O]+,"34525, 34526",C10H10O4,C27H30O6 / C17H20O2,16000.0 / 5000.0,0.0513,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,31000.0 / 5000.0,0.0736,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,16000.0 / 31000.0,0.1434
34526,487.2327,7.1,0.0,0.0,0.0,0.0,0.0,0.0,38191.156,77429.47,0.0,0.0,0.0,0.0,10,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,"34525, 34526",C10H10O4,C27H30O6 / C17H20O2,6500.0 / 700.0,0.0138,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,6400.0 / 700.0,0.0136,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,6500.0 / 6400.0,0.0635
38643,503.2277,7.9,0.0,0.0,0.0,0.0,0.0,0.0,74712.05,113241.61,0.0,0.0,0.0,0.0,24,0,D,C27H34O9,possibly known,"1,2α-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate, 1,2β-dihydro-5β-hydroxy-6α,7α-epoxy-resiniferonol-14-benzoate",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O4 / C17H18O2,8300.0 / 4600.0,0.041,none,none,none,none,none,none,none,none
38742,521.2382,7.9,0.0,0.0,0.0,0.0,0.0,0.0,25122.598,59013.91,0.0,0.0,0.0,0.0,25,0,D,C27H36O10,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O5 / C17H20O3,12000.0 / 5900.0,0.0532,none,none,none,none,none,none,none,none
38755,559.2174,7.9,0.0,0.0,0.0,0.0,0.0,0.0,59390.996,88866.6,0.0,0.0,0.0,0.0,23,0,D,C29H34O11,possibly undescribed,none,[M+H]+,none,C10H10O4,C27H28O8 / C17H18O4,2000.0 / 4400.0,0.0183,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,11000.0 / 8500.0,0.0776,none,none,none,none,C7H6O2,C27H28O8 / C20H22O6,2000.0 / 10000.0,0.0257
39342,577.2281,8.1,0.0,0.0,0.0,0.0,0.0,0.0,49030.414,101749.74,0.0,0.0,0.0,0.0,20,0,D,C29H36O12,possibly undescribed,none,[M+H]+,none,C10H10O4,C27H28O8 / C17H18O4,1900.0 / 13000.0,0.0299,none,none,none,none,none,none,none,none,C3H4O2,C20H22O6 / C17H18O4,21000.0 / 13000.0,0.1156,C2H4O2,C22H26O8 / C20H22O6,1300.0 / 21000.0,0.0403,C7H6O2,C27H28O8 / C20H22O6,1900.0 / 21000.0,0.0429
39457,501.212,8.1,0.0,0.0,0.0,0.0,0.0,0.0,21323.547,39099.56,0.0,0.0,0.0,0.0,14,0,D,C27H32O9,possibly known,daphnegiraldigin,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H22O5 / C17H18O3,1500.0 / 920.0,0.0082,none,none,none,none,none,none,none,none
42200,559.2174,8.7,0.0,0.0,0.0,0.0,0.0,0.0,23954.16,103778.68,0.0,0.0,0.0,0.0,14,0,D,C29H34O11,possibly undescribed,none,[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O3,C29H32O10 / C20H24O7,1500.0 / 1400.0,0.0136,C3H4O2,C20H20O5 / C17H16O3,10000.0 / 1700.0,0.0242,none,none,none,none,none,none,none,none
