row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
44056,609.2695129,9.2,0.0,0.0,0.0,0.0,0.0,0.0,8266.385,50683.32,0.0,0.0,0.0,0.0,15,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none
44081,505.2432994,9.2,0.0,0.0,0.0,0.0,0.0,0.0,278153.0,1620485.2,0.0,0.0,0.0,0.0,26,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none
44759,487.2326136,9.4,0.0,0.0,0.0,0.0,0.0,0.0,715387.6,2554206.2,0.0,0.0,0.0,0.0,20,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,none
44789,605.2958792,9.4,0.0,0.0,0.0,0.0,0.0,0.0,11504.392,46745.54,0.0,0.0,0.0,0.0,17,0,D,C32H44O11,possibly known,"tianchaterpene A, genkwadane I, pimelotide B, pimelotide D",[M+H]+,none
44802,541.2069604,9.4,0.0,0.0,0.0,0.0,0.0,0.0,62008.31,306337.8,0.0,0.0,0.0,0.0,15,0,D,C29H32O10,possibly known,"yuanhuakine E, yuanhuafine, yuanhuaoate F",[M+H]+,none
45127,543.2225446,9.6,0.0,0.0,0.0,0.0,0.0,0.0,457602.56,1604941.5,0.0,0.0,0.0,0.0,22,0,D,C29H34O10,possibly known,yuanhuapine,[M+H]+,none
45341,591.2589933,9.7,0.0,0.0,0.0,0.0,0.0,0.0,5684.752,43775.62,0.0,0.0,0.0,0.0,19,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none
45548,639.2439148,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31328.889,0.0,0.0,0.0,0.0,11,0,D,C34H38O12,possibly undescribed,none,[M+H]+,none
45702,485.2170571,9.9,0.0,0.0,0.0,0.0,0.0,0.0,14555.363,92204.94,0.0,0.0,0.0,0.0,21,0,D,C27H32O8,possibly known,daphne factor F4,[M+H]+,none
46342,605.2958739,10.2,0.0,0.0,0.0,0.0,0.0,0.0,5100.686,38481.016,0.0,0.0,0.0,0.0,15,0,D,C32H44O11,possibly known,"tianchaterpene A, genkwadane I, pimelotide B, pimelotide D",[M+H]+,none
46395,513.2119384,10.2,0.0,0.0,0.0,0.0,0.0,0.0,7390.8213,39631.35,0.0,0.0,0.0,0.0,13,0,D,C28H32O9,possibly undescribed,none,[M+H]+,none
46931,623.2491305,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25858.307,0.0,0.0,0.0,0.0,15,0,D,C34H38O11,possibly undescribed,none,[M+H]+,none
47516,573.2483329,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44406.863,0.0,0.0,0.0,0.0,12,0,D,C34H36O8,possibly undescribed,none,[M+H]+,none
47536,591.2590162,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68100.16,0.0,0.0,0.0,0.0,10,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none
47670,571.25387,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37434.688,0.0,0.0,0.0,0.0,14,0,D,C31H38O10,possibly undescribed,none,[M+H]+,none
47826,621.2333223,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42187.88,0.0,0.0,0.0,0.0,19,0,D,C34H36O11,possibly known,"yuanhuaoate B, genkwadane A",[M+H]+,none
48135,603.2226944,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228314.36,0.0,0.0,0.0,0.0,16,0,D,C34H34O10,possibly undescribed,(DA10)std_genkwadaphnin isomer,[M+H]+,none
48221,667.3117176,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79440.39,0.0,0.0,0.0,0.0,15,0,D,C37H46O11,possibly known,"genkwadane H, tianchaterpene B, yuanhuaoate E, yuanhuakine A, daphgenkin A, daphnane-type diterpene ester-7 (daphgenkin B)",[M+H]+,none
48334,605.2384027,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230566.19,0.0,0.0,0.0,0.0,21,0,D,C34H36O10,possibly known,"3-hydrogenkwadaphin, yuanhuatine (yuanhuatin)",[M+H]+,none
48722,653.3324566,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97389.59,0.0,0.0,0.0,0.0,14,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none
48816,545.2746622,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40590.105,0.0,0.0,0.0,0.0,18,0,D,C30H40O9,possibly known,tianchaterpene E,[M+H]+,none
49077,389.1936785,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152509.95,18132.244,0.0,0.0,0.0,8,0,D,C4H36O19,possibly undescribed,none,[M+H]+,none
49322,591.2584506,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84479.52,0.0,0.0,0.0,0.0,9,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none
49367,655.3480191,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49157.78,0.0,0.0,0.0,0.0,15,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none
49400,667.3115945,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96480.07,0.0,0.0,0.0,0.0,20,0,D,C37H46O11,possibly known,"genkwadane H, tianchaterpene B, yuanhuaoate E, yuanhuakine A, daphgenkin A, daphnane-type diterpene ester-7 (daphgenkin B)",[M+H]+,none
49487,655.3481646,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83486.734,0.0,0.0,0.0,0.0,11,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none
49562,609.2695698,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329900.97,0.0,0.0,0.0,0.0,23,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none
49750,389.1959414,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273873.47,0.0,0.0,0.0,0.0,7,0,D,C22H28O6,possibly undescribed,none,[M+H]+,none
49759,371.1852984,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63961.324,0.0,0.0,0.0,0.0,10,0,D,C22H26O5,possibly undescribed,none,[M+H]+,none
49878,585.2696539,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119090.17,0.0,0.0,0.0,0.0,15,0,D,C32H40O10,possibly known,kirkinine D,[M+H]+,none
49881,653.33239,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41480.523,0.0,0.0,0.0,0.0,7,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none
49901,403.1751166,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67735.086,0.0,0.0,0.0,0.0,7,0,D,C22H26O7,possibly undescribed,none,[M+H]+,none
50084,609.269666,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189922.22,0.0,0.0,0.0,0.0,25,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none
50182,587.2853242,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38360.15,0.0,0.0,0.0,0.0,13,0,D,C32H42O10,possibly known,"yuanhuadine (yuanhuadin, synaptolepis factor K4), isoyuanhuadine (isoyuanhuadin), yuanhuamine A, tianchaterpene D",[M+H]+,none
