row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
727,104.1069056,0.40263924,0,0,0,0,0,0,1.83E+07,1.71E+07,2.47E+07,1976268.5,371776.34,588016.25
737,104.1031088,0.4051385,0,0,0,0,0,0,52760.49,24524.951,71155.016,0,0,0
746,162.1124755,0.40593016,0,0,0,0,0,0,324149.06,305863.3,46151.9,577134.6,116150.32,298688.1
749,221.1859624,0.40707523,0,0,0,0,0,0,369113.84,388629.84,760020.6,17180.008,0,0
787,343.0903279,0.40868282,0,0,0,0,0,0,815818.8,705729,51346.48,0,0,0
794,381.0794415,0.40974018,0,0,0,0,0,0,883292.75,1092605.8,1574674.2,42924.953,21343.143,58855.344
800,125.9862375,0.41043624,0,0,0,0,0,0,1443307.2,1368873.6,0,1571433,1005840.8,2238130.2
839,205.0682559,0.41345015,0,0,0,0,0,0,85988.91,128177.74,4563561,151259.31,264504.6,273821.4
848,257.1471833,0.41472048,0,0,0,0,0,0,0,15232.078,240613.88,112115.3,18482.295,35696.016
852,365.1054792,0.41517472,0,0,0,0,0,0,320556.22,588653.4,5660709,61177.61,174783.61,211579.73
859,248.112899,0.41556856,0,0,0,0,0,0,1156999.1,1312716.4,800662.9,0,0,0
863,222.019676,0.41605783,0,0,0,0,0,0,459125.25,424466.5,0,190215.11,37933.18,90017.766
870,140.0686123,0.41691193,0,0,0,0,0,0,96031.13,112668.28,570545.44,387230.75,332396.66,337040.38
889,108.0443199,0.41794562,0,0,0,0,0,0,643772.25,650090.75,0,0,0,0
901,337.1719158,0.41794562,0,0,0,0,0,0,1126212.1,804008.1,0,0,0,0
906,182.0578078,0.418224,0,0,0,0,0,0,0,0,0,902888.06,123442.91,375949.25
907,283.1628533,0.418224,0,0,0,0,0,0,0,0,0,294045.1,27349.508,76054.07
908,362.0968973,0.41823193,0,0,0,0,0,0,0,0,357975,0,0,3437.7195
932,266.1235057,0.41901302,0,0,0,0,0,0,1589513.8,1785551.5,1088679.9,0,0,0
936,309.1785521,0.4191393,0,0,0,0,0,0,0,0,0,168766.11,0,35333.82
942,233.0631739,0.42000037,0,0,0,0,0,0,64594.46,100473.516,490339.75,8889.984,0,0
945,267.0387285,0.42034963,0,0,0,0,0,0,15556.416,29151.152,324982.78,85227.586,121127.664,161574.64
985,126.0549443,0.42245874,0,0,0,0,0,0,522553.97,510683.75,53773.348,0,0,0
1002,299.13679,0.4229625,0,0,0,0,0,0,0,0,0,63955.746,0,0
1037,118.0862272,0.4237992,0,0,0,0,0,0,1.08E+07,1.06E+07,1.04E+07,2592006,823855.44,1147838.5
1038,116.0705546,0.42380586,0,0,0,0,0,0,9234449,6922987.5,8607257,48967.566,28370.64,41625.887
1043,202.0597154,0.42454943,0,0,0,0,0,0,0,0,662524.8,0,9999.819,19374.537
1046,206.0457806,0.42509633,0,0,0,0,0,0,0,96487.516,48345.31,91672.79,55472.016,58274.195
1050,282.0782704,0.42559817,0,0,0,0,0,0,0,14201.272,576951.4,0,9244.026,13993.119
1060,201.0519265,0.42590234,0,0,0,0,0,0,65482.71,73898.18,307540.97,0,0,0
1062,234.0972309,0.42590106,0,0,0,0,0,0,1379719.9,1215060.5,500066.44,0,0,0
1066,260.1129054,0.42590106,0,0,0,0,0,0,1689779.1,1258339,159926.48,0,0,0
1067,262.1285527,0.42590106,0,0,0,0,0,0,775227.2,621851.1,804401.75,0,0,0
1070,278.1234668,0.42590106,0,0,0,0,0,0,1277985,910652.4,132146.98,0,0,0
1071,305.1344406,0.42590106,0,0,0,0,0,0,6520735.5,5827220.5,663760.9,0,0,0
1075,102.1276187,0.42674467,0,0,0,0,0,0,0,0,19304.566,36145.07,94615.15,32249.625
1088,182.0804342,0.42722026,0,0,0,0,0,0,182890.83,155237.56,306723.2,12127.902,7474.1406,7794.1816
1092,138.0549786,0.42735863,0,0,0,0,0,0,3536495.8,3329950.2,1401649.8,14678.793,0,8275.597
1114,134.0447922,0.42827773,0,0,0,0,0,0,884986.1,687034.94,0,0,0,0
1133,278.0871401,0.42827773,0,0,0,0,0,0,1420982.4,1131620.6,0,0,0,0
1148,330.0587547,0.42827773,0,0,0,0,0,0,855095.56,619308.8,0,0,0,0
1194,166.0849942,0.42896914,0,0,0,0,0,0,18852.371,19850.066,20359.662,533885.2,274858.44,425624.6
1209,259.092489,0.4293468,0,0,0,0,0,0,630968.44,456845.34,127137.73,0,0,0
1212,276.1442388,0.4293468,0,0,0,0,0,0,488330.38,407487.34,449174.78,0,0,0
1218,175.1189575,0.42942935,0,0,0,0,0,0,3791492.5,2473574,22543.393,88024.266,0,60987.098
1233,132.1018981,0.4307104,0,0,0,0,0,0,202703.48,172318.06,851827.2,44504.914,37114.99,32063.121
1235,130.0862511,0.43072262,0,0,0,0,0,0,2382725,1762546.2,1001930.94,95791.586,24717.79,48368.555
1236,144.1019512,0.43072262,0,0,0,0,0,0,744886.75,508693.47,165983.64,3295169.8,899240.7,1574007.6
1285,174.0872957,0.43333042,0,0,0,0,0,0,0,0,0,89221.47,0,0
1329,130.0498803,0.43373364,0,0,0,0,0,0,788356,667725.56,536679,51835.223,0,49252.637
