row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,identification,same composition
892,712.3166,7.7,6371.1963,0,12644.291,25695.773,63639.047,0,34,Limonoid,C34H49O15N1,[M+NH4]+,none,CH2O2,C25H26O4 / C24H28O6,11000.0 / 9300.0,0.0869,C2H4O2,C26H30O7 / C24H26O5,5800.0 / 8200.0,0.0521,possibly undescribed,none
975,536.2485,8.3,0,0,0,0,0,811502.75,34,Limonoid,C27H37O10N1,[M+NH4]+,none,CH6O2,C26H30O7 / C25H24O5,89000.0 / 150000.0,0.7911,C2H4O2,C26H30O7 / C24H26O5,89000.0 / 66000.0,0.5976,possibly undescribed,none
975,536.2485,8.3,0,0,0,0,0,811502.75,34,Limonoid,C27H37O10N1,[M+NH4]+,none,CH2O2,C25H26O6 / C24H24O4,76000.0 / 77000.0,0.7551,C2H4O2,C26H30O7 / C24H26O5,89000.0 / 66000.0,0.5976,possibly undescribed,none
1018,519.222,8.7,0,11438.659,0,0,0,209348.5,34,Limonoid,C27H34O10,[M+H]+,"1018, 1019",CH2O2,C24H28O8 / C23H26O6,33000.0 / 28000.0,0.262,C2H4O2,C26H32O8 / C24H28O6,11000.0 / 26000.0,0.1022,possibly undescribed,none
745,461.1798,6.7,0,0,0,0,0,107287.25,35,Limonoid,C24H28O9,[M+H]+,none,CH2O2,C24H22O6 / C23H20O4,21000.0 / 12000.0,0.1068,none,none,none,none,possibly undescribed,none
775,520.2173,6.9,0,0,98156.81,218880.05,37122.43,2502244.2,36,Limonoid,C26H33O10N1,[M+NH4]+,"775, 777",CH2O2,C24H28O9 / C23H26O7,56000.0 / 59000.0,0.5465,C2H4O2,C26H30O10 / C24H26O8,65000.0 / 120000.0,0.5801,possibly undescribed,none
896,505.2058,7.7,0,0,0,22144.637,0,189189.78,38,Limonoid,C26H32O10,[M+H]+,none,CH6O2,C24H30O7 / C23H24O5,17000.0 / 17000.0,0.17,C2H4O2,C26H30O9 / C24H26O7,21000.0 / 30000.0,0.1885,possibly undescribed,none
896,505.2058,7.7,0,0,0,22144.637,0,189189.78,38,Limonoid,C26H32O10,[M+H]+,none,CH2O2,C25H30O8 / C24H28O6,17000.0 / 38000.0,0.1559,C2H4O2,C26H30O9 / C24H26O7,21000.0 / 30000.0,0.1885,possibly undescribed,none
949,501.2113,8.1,0,0,0,0,0,405622.56,38,Limonoid,C27H32O9,[M+H]+,none,CH6O2,C24H24O4 / C23H18O6,28000.0 / 51000.0,0.2496,C2H4O2,C26H28O6 / C24H24O4,9200.0 / 28000.0,0.0925,possibly undescribed,none
949,501.2113,8.1,0,0,0,0,0,405622.56,38,Limonoid,C27H32O9,[M+H]+,none,CH2O2,C25H26O6 / C24H24O4,24000.0 / 28000.0,0.2253,C2H4O2,C26H28O6 / C24H24O4,9200.0 / 28000.0,0.0925,possibly undescribed,none
1204,550.264,9.9,0,0,0,0,0,64830.42,41,Limonoid,C28H39O10N1,[M+NH4]+,none,CH6O2,C25H28O5 / C24H22O3,4400.0 / 4500.0,0.0435,C2H4O2,C26H28O6 / C24H24O4,4600.0 / 3200.0,0.0287,possibly undescribed,none
1204,550.264,9.9,0,0,0,0,0,64830.42,41,Limonoid,C28H39O10N1,[M+NH4]+,none,CH2O2,C26H26O7 / C25H24O5,4700.0 / 6000.0,0.043,C2H4O2,C26H28O6 / C24H24O4,4600.0 / 3200.0,0.0287,possibly undescribed,none
773,461.1797,6.9,0,0,0,20534.977,0,295768.7,61,Limonoid,C24H28O9,[M+H]+,none,CH2O2,C24H22O6 / C23H20O4,53000.0 / 44000.0,0.4091,none,none,none,none,possibly undescribed,none
773,461.1797,6.9,0,0,0,20534.977,0,295768.7,61,Limonoid,C24H28O9,[M+H]+,none,CH4O2,C24H24O7 / C23H20O5,42000.0 / 22000.0,0.1969,none,none,none,none,possibly undescribed,none
777,503.1905,6.9,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid,C26H30O10,[M+H]+,"775, 777",CH2O2,C24H26O8 / C23H24O6,140000.0 / 100000.0,0.9,C2H4O2,C26H28O9 / C24H24O7,63000.0 / 80000.0,0.5777,possibly undescribed,none
777,503.1905,6.9,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid,C26H30O10,[M+H]+,"775, 777",CH6O2,C24H28O7 / C23H22O5,53000.0 / 130000.0,0.4969,C2H4O2,C26H28O9 / C24H24O7,63000.0 / 80000.0,0.5777,possibly undescribed,none
