row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,identification,same composition
1324,504.2585,10.8,0,0,0,0,28503.865,605344.1,11,Limonoid,C27H37O8N1,[M+NH4]+,"1324, 1325",CH8O2,C26H32O5 / C25H24O3,15000.0 / 15000.0,0.15,C2H4O2,C26H30O4 / C24H26O2,12000.0 / 8300.0,0.0744,possibly undescribed,none
1324,504.2585,10.8,0,0,0,0,28503.865,605344.1,11,Limonoid,C27H37O8N1,[M+NH4]+,"1324, 1325",CH6O2,C26H30O5 / C25H24O3,36000.0 / 15000.0,0.1398,C2H4O2,C26H30O4 / C24H26O2,12000.0 / 8300.0,0.0744,possibly undescribed,none
2056,476.3577,16.8,87222.54,271401.78,215485.95,326132.9,258304.16,107728.14,11,Limonoid,C25H49O7N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2128,608.4887,17.4,0,0,0,0,0,206935.38,11,Limonoid,C36H65O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2315,606.5086,19.5,0,43343.4,0,0,49637.055,135211.34,11,Limonoid,C37H67O5N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
688,554.2594,6.4,0,0,0,0,0,39246.46,12,Limonoid,C27H39O11N1,[M+NH4]+,none,CH2O2,C26H32O10 / C25H30O8,12000.0 / 7400.0,0.0658,C2H4O2,C26H32O10 / C24H28O8,12000.0 / 6600.0,0.0588,possibly undescribed,none
830,505.2062,7.2,0,32614.602,0,0,0,565067.06,12,Limonoid,C26H32O10,[M+H]+,"829, 830",CH2O2,C26H32O10 / C25H30O8,24000.0 / 19000.0,0.1744,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 14000.0,0.1245,possibly undescribed,none
830,505.2062,7.2,0,32614.602,0,0,0,565067.06,12,Limonoid,C26H32O10,[M+H]+,"829, 830",CH6O2,C25H32O9 / C24H26O7,11000.0 / 14000.0,0.1008,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 14000.0,0.1245,possibly undescribed,none
869,522.2325,7.5,0,0,0,0,0,1177401.1,12,Limonoid,C26H35O10N1,[M+NH4]+,"860, 869",CH2O2,C24H28O8 / C23H26O6,1500000.0 / 270000.0,3.7032,C2H4O2,C26H30O9 / C24H26O7,350000.0 / 860000.0,3.2827,possibly undescribed,none
978,489.2107,8.3,0,0,0,0,110709.125,10397.664,12,Limonoid,C26H32O9,[M+H]+,none,CH0O2,C26H28O7 / C25H28O5,6900.0 / 21000.0,0.0694,none,none,none,none,possibly undescribed,none
978,489.2107,8.3,0,0,0,0,110709.125,10397.664,12,Limonoid,C26H32O9,[M+H]+,none,CH4O2,C25H30O6 / C24H26O4,25000.0 / 3000.0,0.0544,none,none,none,none,possibly undescribed,none
978,489.2107,8.3,0,0,0,0,110709.125,10397.664,12,Limonoid,C26H32O9,[M+H]+,none,CH2O2,C25H28O5 / C24H26O3,21000.0 / 4000.0,0.053,none,none,none,none,possibly undescribed,none
