row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak
618,536.2121884,6,0,0,0,0,0,86489.41,18,Limonoid,C26H33O11N1,[M+NH4]+,none
974,501.2113701,8.3,0,0,0,0,0,219804.89,18,Limonoid,C27H32O9,[M+H]+,none
860,505.2051457,7.5,0,8421.193,5175.3975,0,0,669512,19,Limonoid,C26H32O10,[M+H]+,"860, 869"
894,501.1748401,7.7,0,0,0,0,0,251040.84,19,Limonoid,C26H28O10,[M+H]+,none
2108,450.3213335,17.2,17894.074,0,0,0,83842.586,0,19,Limonoid,C26H43O5N1,[M+NH4]+,none
2127,573.4512901,17.4,0,0,0,0,0,164764.17,19,Limonoid,C36H60O5,[M+H]+,none
1272,564.2791459,10.4,0,0,0,0,1184836.8,0,20,Limonoid,C29H41O10N1,[M+NH4]+,none
966,504.2223506,8.2,0,91377.66,0,0,0,2755372.2,21,Limonoid,C26H33O9N1,[M+NH4]+,"966, 969"
985,534.2340948,8.4,0,0,0,0,0,61898.273,22,Limonoid,C27H35O10N1,[M+NH4]+,none
559,570.2537807,5.5,0,0,0,0,0,155436.5,23,Limonoid,C27H39O12N1,[M+NH4]+,none
726,568.2380061,6.6,0,0,0,0,0,68075.71,23,Limonoid,C27H37O12N1,[M+NH4]+,none
898,564.2434045,7.7,0,0,121226.56,367192.3,0,0,24,Limonoid,C28H37O11N1,[M+NH4]+,none
1163,501.2117158,9.6,0,30757.582,0,0,0,76220.336,24,Limonoid,C27H32O9,[M+H]+,none
2022,417.3358482,16.5,69934.5,70280.33,78548.516,75564.914,62020.344,60743.152,24,Limonoid,C27H44O3,[M+H]+,none
805,522.2333214,7.1,0,40387.21,0,0,0,111524.95,26,Limonoid,C26H35O10N1,[M+NH4]+,"804, 805"
1033,473.2165887,8.8,0,0,300336.5,66548.4,0,7620.636,27,Limonoid,C26H32O8,[M+H]+,"1030, 1033"
1172,518.2381558,9.7,0,0,0,0,0,240056.1,27,Limonoid,C27H35O9N1,[M+NH4]+,"1171, 1172"
1019,536.2485133,8.7,0,0,0,0,0,446349.06,28,Limonoid,C27H37O10N1,[M+NH4]+,"1018, 1019"
1285,411.2156336,10.5,0,0,0,0,0,164251.78,28,Limonoid,C25H30O5,[M+H-CO2]+,"1285, 1286"
969,487.1955377,8.2,0,0,0,0,0,1999476.4,29,Limonoid,C26H30O9,[M+H]+,"966, 969"
1030,490.2431116,8.8,0,0,212225.75,0,0,0,30,Limonoid,C26H35O8N1,[M+NH4]+,"1030, 1033"
1065,520.2548031,9,0,0,0,0,0,102841.19,32,Limonoid,C27H37O9N1,[M+NH4]+,none
594,570.2541967,5.8,0,0,0,0,7979.456,268780.8,33,Limonoid,C27H39O12N1,[M+NH4]+,none
804,505.2063221,7.1,0,22803.129,0,0,0,122791.67,33,Limonoid,C26H32O10,[M+H]+,"804, 805, 822"
892,712.3166379,7.7,6371.1963,0,12644.291,25695.773,63639.047,0,34,Limonoid,C34H49O15N1,[M+NH4]+,none
975,536.2484709,8.3,0,0,0,0,0,811502.75,34,Limonoid,C27H37O10N1,[M+NH4]+,none
1018,519.2219957,8.7,0,11438.659,0,0,0,209348.5,34,Limonoid,C27H34O10,[M+H]+,"1018, 1019"
745,461.1797618,6.7,0,0,0,0,0,107287.25,35,Limonoid,C24H28O9,[M+H]+,none
775,520.2173015,6.9,0,0,98156.81,218880.05,37122.43,2502244.2,36,Limonoid,C26H33O10N1,[M+NH4]+,"775, 777"
896,505.2057724,7.7,0,0,0,22144.637,0,189189.78,38,Limonoid,C26H32O10,[M+H]+,none
949,501.2112777,8.1,0,0,0,0,0,405622.56,38,Limonoid,C27H32O9,[M+H]+,none
1204,550.2640364,9.9,0,0,0,0,0,64830.42,41,Limonoid,C28H39O10N1,[M+NH4]+,none
773,461.1797351,6.9,0,0,0,20534.977,0,295768.7,61,Limonoid,C24H28O9,[M+H]+,none
777,503.1905352,6.9,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid,C26H30O10,[M+H]+,"775, 777"
