row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C6 ion,C6 ion_intensity,C6 ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C7 ion,C7 ion_intensity,C7 ion_score,C8 ion,C8 ion_intensity,C8 ion_score,C9 ion,C9 ion_intensity,C9 ion_score,C10 ion,C10 ion_intensity,C10 ion_score,C11 ion,C11 ion_intensity,C11 ion_score,C12 ion,C12 ion_intensity,C12 ion_score,C13 ion,C13 ion_intensity,C13 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C26 ion,C26 ion_intensity,C26 ion_score,A parts,B parts,C parts,D parts,Annotation Structure
1285,411.2156,10.5,0,0,0,0,0,164251.78,28,Limonoid,C25H30O5,[M+H-CO2]+,"1285, 1286",CH2O2,C25H30O5 / C24H28O3,40000.0 / 13000.0,0.1313,none,none,none,none,none,none,none,none,none,none,C7H8O,4500,0.045,C8H8O,4700,0.047,C9H12,7500,0.075,C10H8O2,20000,0.2,C11H10O2,10000,0.1,C12H12O,10000,0.1,C13H14O,4900,0.049,C14H14O,14000,0.14,C15H14O2,8500,0.085,C16H16O,3800,0.038,C17H20O,2100,0.021,none,none,none,A6,B1,C1,D6,A6B1C1D6
1286,455.2057,10.5,0,268701.1,510842.38,192418.4,0,1792740.5,11,Limonoid,C26H30O7,[M+H]+,"1285, 1286",CH2O2,C26H30O7 / C25H28O5,640000.0 / 1400000.0,5.8449,C2H4O2,C26H28O6 / C24H24O4,260000.0 / 56000.0,0.6896,none,none,none,C5H2O2,220000,2.2,C7H10O,83000,0.83,C8H10,78000,0.78,C9H12O2,150000,1.5,C10H8O2,2400000,24,C11H10O2,360000,3.6,C12H10O2,450000,4.5,C13H14O,65000,0.65,C14H12O,180000,1.8,C15H14O3,160000,1.6,C16H20O2,34000,0.34,C17H16O2,95000,0.95,C26H28O6,260000,2.6,A6,B2,C1,D6,A6B2C1D6
1286,455.2057,10.5,0,268701.1,510842.38,192418.4,0,1792740.5,11,Limonoid,C26H30O7,[M+H]+,"1285, 1286",CH0O2,C26H30O7 / C25H30O5,640000.0 / 290000.0,2.6531,C2H4O2,C26H28O6 / C24H24O4,260000.0 / 56000.0,0.6896,none,none,none,C5H2O2,220000,2.2,C7H10O,83000,0.83,C8H10,78000,0.78,C9H12O2,150000,1.5,C10H8O2,2400000,24,C11H10O2,360000,3.6,C12H10O2,450000,4.5,C13H14O,65000,0.65,C14H12O,180000,1.8,C15H14O3,160000,1.6,C16H20O2,34000,0.34,C17H16O2,95000,0.95,C26H28O6,260000,2.6,A6,B2,C1,D6,A6B2C1D6
1325,487.2319,10.8,0,0,0,0,0,224352.73,13,Limonoid,C27H34O8,[M+H]+,"1324, 1325",CH6O2,C26H32O6 / C25H26O4,27000.0 / 22000.0,0.2035,C2H4O2,C26H30O5 / C24H26O3,66000.0 / 13000.0,0.1687,C6H8O2,17000,0.17,C5H2O2,38000,0.38,C7H6O,8100,0.081,C8H8O,15000,0.15,C9H10O,24000,0.24,C10H8O2,270000,2.7,C11H10O2,41000,0.41,C12H10O2,49000,0.49,C13H10O4,16000,0.16,C14H12O,30000,0.3,C15H14O3,31000,0.31,C16H16O2,8600,0.086,C17H16O2,11000,0.11,C26H30O5,66000,0.66,A1,B3,C1,D7,A1B3C1D7
1325,487.2319,10.8,0,0,0,0,0,224352.73,13,Limonoid,C27H34O8,[M+H]+,"1324, 1325",CH4O2,C26H30O5 / C25H26O3,66000.0 / 14000.0,0.1739,C2H4O2,C26H30O5 / C24H26O3,66000.0 / 13000.0,0.1687,C6H8O2,17000,0.17,C5H2O2,38000,0.38,C7H6O,8100,0.081,C8H8O,15000,0.15,C9H10O,24000,0.24,C10H8O2,270000,2.7,C11H10O2,41000,0.41,C12H10O2,49000,0.49,C13H10O4,16000,0.16,C14H12O,30000,0.3,C15H14O3,31000,0.31,C16H16O2,8600,0.086,C17H16O2,11000,0.11,C26H30O5,66000,0.66,A1,B3,C1,D7,A1B3C1D7
1324,504.2585,10.8,0,0,0,0,28503.865,605344.1,11,Limonoid,C27H37O8N1,[M+NH4]+,"1324, 1325",CH8O2,C26H32O5 / C25H24O3,15000.0 / 15000.0,0.15,C2H4O2,C26H30O4 / C24H26O2,12000.0 / 8300.0,0.0744,C6H8O2,10000,0.1,C5H2O2,24000,0.24,C7H8O,13000,0.13,C8H8O,11000,0.11,C9H10O,14000,0.14,C10H8O2,160000,1.6,C11H10O2,25000,0.25,C12H10O2,36000,0.36,C13H14O,7400,0.074,C14H12O,21000,0.21,C15H14O3,22000,0.22,C16H16O2,9000,0.09,C17H16O2,8600,0.086,C26H30O5,36000,0.36,A1,B1,C1,D6,A1B1C1D6
1324,504.2585,10.8,0,0,0,0,28503.865,605344.1,11,Limonoid,C27H37O8N1,[M+NH4]+,"1324, 1325",CH6O2,C26H30O5 / C25H24O3,36000.0 / 15000.0,0.1398,C2H4O2,C26H30O4 / C24H26O2,12000.0 / 8300.0,0.0744,C6H8O2,10000,0.1,C5H2O2,24000,0.24,C7H8O,13000,0.13,C8H8O,11000,0.11,C9H10O,14000,0.14,C10H8O2,160000,1.6,C11H10O2,25000,0.25,C12H10O2,36000,0.36,C13H14O,7400,0.074,C14H12O,21000,0.21,C15H14O3,22000,0.22,C16H16O2,9000,0.09,C17H16O2,8600,0.086,C26H30O5,36000,0.36,A1,B1,C1,D6,A1B1C1D6
777,503.1905,6.9,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid,C26H30O10,[M+H]+,"775, 777",CH2O2,C24H26O8 / C23H24O6,140000.0 / 100000.0,0.9,C2H4O2,C26H28O9 / C24H24O7,63000.0 / 80000.0,0.5777,C6H8O2,26000,0.26,none,none,none,C7H8O,42000,0.42,C8H10,73000,0.73,C9H10,59000,0.59,C10H14,39000,0.39,C11H10O2,39000,0.39,C12H14O,150000,1.5,C13H14O,48000,0.48,C14H12O,81000,0.81,C15H14O2,97000,0.97,C16H16O3,70000,0.7,C17H16O2,59000,0.59,none,none,none,none,B2,C1,D6,none
777,503.1905,6.9,0,0,30342.807,70832.76,0,1014784.06,94,Limonoid,C26H30O10,[M+H]+,"775, 777",CH6O2,C24H28O7 / C23H22O5,53000.0 / 130000.0,0.4969,C2H4O2,C26H28O9 / C24H24O7,63000.0 / 80000.0,0.5777,C6H8O2,26000,0.26,none,none,none,C7H8O,42000,0.42,C8H10,73000,0.73,C9H10,59000,0.59,C10H14,39000,0.39,C11H10O2,39000,0.39,C12H14O,150000,1.5,C13H14O,48000,0.48,C14H12O,81000,0.81,C15H14O2,97000,0.97,C16H16O3,70000,0.7,C17H16O2,59000,0.59,none,none,none,none,B2,C1,D6,none
775,520.2173,6.9,0,0,98156.81,218880.05,37122.43,2502244.2,36,Limonoid,C26H33O10N1,[M+NH4]+,"775, 777",CH2O2,C24H28O9 / C23H26O7,56000.0 / 59000.0,0.5465,C2H4O2,C26H30O10 / C24H26O8,65000.0 / 120000.0,0.5801,C6H8O2,4100,0.041,none,none,none,none,none,none,C8H10,11000,0.11,C9H10,12000,0.12,C10H12O,3300,0.033,C11H10O2,5800,0.058,C12H14O,32000,0.32,C13H14O,8700,0.087,C14H14O2,11000,0.11,C15H14O2,12000,0.12,C16H16O3,16000,0.16,C17H20O2,12000,0.12,none,none,none,A1,B2,C1,D6,A1B2C1D6
