Compound Name,Type,M,M+NH3,M+CH3NH2
yuanhuakine B,D,C37H50O10,C37H53O10N1,C38H55O10N
neogenkwanine C,D,C37H50O10,C37H53O10N1,C38H55O10N
neogenkwanine D,D,C37H50O10,C37H53O10N1,C38H55O10N
neogenkwanine E,D,C37H50O10,C37H53O10N1,C38H55O10N
neogenkwanine F,D,C37H50O10,C37H53O10N1,C38H55O10N
genkwanine B,D,C37H50O10,C37H53O10N1,C38H55O10N
genkwanine G,D,C37H52O10,C37H55O10N1,C38H57O10N
wikstroelide B,D,C37H52O10,C37H55O10N1,C38H57O10N
wikstroelide J,D,C36H52O11,C36H55O11N1,C37H57O11N
acutilobin B,D,C37H42O11,C37H45O11N1,C38H47O11N
acutilobin A,D,C37H42O11,C37H45O11N1,C38H47O11N
tanguticanine B,D,C37H44O11,C37H47O11N1,C38H49O11N
genkwadane H,D,C37H46O11,C37H49O11N1,C38H51O11N
tianchaterpene B,D,C37H46O11,C37H49O11N1,C38H51O11N
yuanhuaoate E,D,C37H46O11,C37H49O11N1,C38H51O11N
yuanhuakine A,D,C37H46O11,C37H49O11N1,C38H51O11N
daphgenkin A,D,C37H46O11,C37H49O11N1,C38H51O11N
daphnane-type diterpene ester-7 (daphgenkin B),D,C37H46O11,C37H49O11N1,C38H51O11N
genkwanine J,D,C37H52O11,C37H55O11N1,C38H57O11N
kirkinine,D,C38H56O10,C38H59O10N1,C39H61O10N
acutilobin E,D,C37H38O12,C37H41O12N1,C38H43O12N
tanguticanine D,D,C37H44O12,C37H47O12N1,C38H49O12N
wikstrotoxin C,D,C38H52O11,C38H55O11N1,C39H57O11N
genkwadane G,D,C37H48O12,C37H51O12N1,C38H53O12N
tanguticanine E,D,C38H46O12,C38H49O12N1,C39H51O12N
hirsein B,D,C39H50O11,C39H53O11N1,C40H55O11N
daphnegiraldifin,D,C43H60O9,C43H63O9N1,C44H65O9N
"1,2α-dihydro-20-palmitoyldaphnetoxin",D,C43H62O9,C43H65O9N1,C44H67O9N
genkwanine N 20-palmitate,D,C50H68O10,C50H71O10N1,C51H73O10N
genkwadaphnin-20-palmitate,D,C50H64O11,C50H67O11N1,C51H69O11N
wikstroelide C,D,C51H76O11,C51H79O11N1,C52H81O11N
gnidicin-20-palmitate,D,C52H66O11,C52H69O11N1,C53H71O11N
wikstroelide D,D,C52H80O11,C52H83O11N1,C53H85O11N
tanguticacine,D,C53H72O11,C53H75O11N1,C54H77O11N
gnidilatidin 20-palmitate,D,C53H74O11,C53H77O11N1,C54H79O11N
wikstroelide I,D,C53H82O11,C53H85O11N1,C54H87O11N
daphnopsis factor R1/gnilatimacrin,D,C37H50O9,C37H53O9N1,C38H55O9N
pimelea factor P3 (daphnopsis factor R5),D,C37H50O9,C37H53O9N1,C38H55O9N
genkwadane B,D,C37H50O9,C37H53O9N1,C38H55O9N
linimacrin a,D,C39H52O11,C39H55O11N1,C40H57O11N
linimacrin d,D,C39H52O11,C39H55O11N1,C40H57O11N
stelleralide B,D,C44H54O11,C44H57O11N1,C45H59O11N
kraussianin,D,C37H50O10,C37H53O10N1,C38H55O10N
linimacrin c,D,C37H50O10,C37H53O10N1,C38H55O10N
wikstroelide X,D,C37H50O10,C37H53O10N1,C38H55O10N
stelleramacrin,D,C37H50O11,C37H53O11N1,C38H55O11N
stelleralide A,D,C39H52O12,C39H55O12N1,C40H57O12N
simpleximacrin,D,C46H56O14,C46H59O14N1,C47H61O14N
gnidimacrin-20-palmitate,D,C60H84O13,C60H87O13N1,C61H89O13N
stelleralide F (S54),D,C46H56O14,C46H59O14N1,C47H61O14N
daphnopsis factor R6,D,C37H50O8,C37H53O8N1,C38H55O8N
daphnopsis factor R7,D,C30H46O7,C30H49O7N1,C31H51O7N
wikstroelide E,D,C30H44O8,C30H47O8N1,C31H49O8N
wikstroelide O,D,C37H48O10,C37H51O10N1,C38H53O10N
wikstroelide G,D,C53H78O11,C53H81O11N1,C54H83O11N
wikstroelide K,D,C53H78O11,C53H81O11N1,C54H83O11N
stellejasmin B,D,C37H48O11,C37H51O11N1,C38H53O11N
wikstroelide S,D,C37H52O10,C37H55O10N1,C38H57O10N
genkwadane C,D,C37H52O10,C37H55O10N1,C38H57O10N
wikstroelide T,D,C39H54O10,C39H57O10N1,C40H59O10N
wikstroelide R,D,C37H52O11,C37H55O11N1,C38H57O11N
pimelotide B,D,C32H44O11,C32H47O11N1,C33H49O11N
pimelotide D,D,C32H44O11,C32H47O11N1,C33H49O11N
stelleralide D,D,C53H76O12,C53H79O12N1,C54H81O12N
stelleralide E,D,C55H76O12,C55H79O12N1,C56H81O12N
kirkinine B,D,C36H54O8,C36H57O8N1,C37H59O8N
kirkinine E,D,C36H54O9,C36H57O9N1,C37H59O9N
kirkinine C,D,C38H56O10,C38H59O10N1,C39H61O10N
20-O-hexadecanoylkirkinine B,D,C52H84O9,C52H87O9N1,C53H89O9N
synaptolepis factor K1,D,C36H54O8,C36H57O8N1,C37H59O8N
daphnepedunin J (S2),D,C29H42O8,C29H45O8N1,C30H47O8N
daphnepedunin I (S5),D,C31H46O8,C31H49O8N1,C32H51O8N1
simplexin (S4),D,C30H44O8,C30H47O8N1,C31H49O8N
excoecariatoxin (S3),D,C30H40O8,C30H43O8N1,C31H45O8N
huratoxin (S6),D,C34H48O8,C34H51O8N1,C35H53O8N
wikstrotoxin A (S9),D,C35H50O8,C35H53O8N1,C36H55O8N
wikstroelide H (S13),D,C34H46O10,C34H49O10N1,C35H51O10N
wikstroelide A (S15),D,C36H50O10,C36H53O10N1,C37H55O10N
yuanhuacine (S18),D,C37H44O10,C37H47O10N1,C38H49O10N
yuanhuajine (S16),D,C37H42O10,C37H45O10N1,C38H47O10N
"12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E)-decadienylidyne-5β,12β-dihydroxyresiniferonol-6α,7α-oxide (S21)",D,C39H46O10,C39H49O10N1,C40H51O10N
"12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5β,12β-dihydroxyresiniferonol-6α,7α-oxide (S22)",D,C39H44O10,C39H47O10N1,C40H49O10N
daphneodorin D (S24),D,C39H46O11,C39H49O11N1,C40H51O11N
daphneodorin E (S23),D,C39H44O11,C39H47O11N1,C40H49O11N
acutilobin D (S27),D,C40H48O12,C40H51O12N1,C41H53O12N
acutilobin C (S26),D,C40H46O12,C40H49O12N1,C41H51O12N
gniditrin (S17),D,C37H42O10,C37H45O10N1,C38H47O10N
wikstroelide M (S11),D,C34H50O9,C34H53O9N1,C35H55O9N
stelleralide K (S14),D,C34H48O11,C34H51O11N1,C35H53O11N
daphneodorin G (S25),D,C39H48O11,C39H51O11N1,C40H53O11N
daphneodorin F (S28),D,C40H48O13,C40H51O13N1,C41H53O13N
neogenkwanine G,D,C34H40O10,C34H43O10N1,C35H45O10N
daphneodorin H (S19),D,C37H48O10,C37H51O10N1,C38H53O10N
genkwanine H (S12),D,C34H40O10,C34H43O10N1,C35H45O10N
pimelea factor S6 (S31),MD,C30H44O8,C30H47O8N1,C31H49O8N
pimelea factor S7 (S30),MD,C30H44O8,C30H47O8N1,C31H49O8N
wikstroelide F (S41),MD,C37H48O10,C37H51O10N1,C38H53O10N
daphnepedunin D (S45),MD,C37H48O11,C37H51O11N1,C38H53O11N
daphnepedunin B (S34),MD,C30H44O9,C30H47O9N1,C31H49O9N
daphnepedunin A (S35),MD,C30H44O9,C30H47O9N1,C31H49O9N
daphnepedunin G (S36),MD,C30H44O9,C30H47O9N1,C31H49O9N
daphnepedunin H (S37),MD,C30H44O9,C30H47O9N1,C31H49O9N
daphnepedunin C (S29),MD,C29H42O8,C29H45O8N1,C30H47O8N
stelleralide H (S50),MD,C44H54O12,C44H57O12N1,C45H59O12N
gnidimacrin (S51),MD,C44H54O12,C44H57O12N1,C45H59O12N
wikstromacrin (S38),MD,C37H50O9,C37H53O9N1,C38H55O9N
pimela factor P2 (S39),MD,C37H50O9,C37H53O9N1,C38H55O9N
stelleralide G (S55),MD,C51H58O14,C51H61O14N1,C52H63O14N
daphneodorin A (S56),MD,C53H60O16,C53H63O16N1,C54H65O16N
daphneodorin B (S57),MD,C55H62O18,C55H65O18N1,C56H67O18N
daphneodorin C (S58),MD,C55H62O18,C55H65O18N1,C56H67O18N
pimelotide A (S32),MD,C30H42O9,C30H45O9N1,C31H47O9N
pimelotide C (S33),MD,C30H42O9,C30H45O9N1,C31H47O9N
