row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score,C15 ion,C15 ion_intensity,C15 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C18 ion,C18 ion_intensity,C18 ion_score,C19 ion,C19 ion_intensity,C19 ion_score,C20 ion,C20 ion_intensity,C20 ion_score,Acyl A ion,Acyl A ion_intensity,Acyl A ion_score,Acyl B ion,Acyl B ion_intensity,Acyl B ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C6 ion,C6 ion_intensity,C6 ion_score,IHD,A part,B part,C part,C-12,C-18,olefinic position,M part,Sub No.,Sub Carbon,Sub_An,Acyl part,Correct Acyl part,A_id,B_id,C_id,M_id,R1_id,R2_id,Total Score,Aglycone Type,Annotation SMILES,Annotation ID,Annotation Formula,Annotation MW,Top K,confidence score,manual verification
14,529.2795,9.6,2.57E+08,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H40O8,possibly known,std_excoecariatoxin (DA03),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H32O4 / C20H24O6,13000.0 / 160000.0,0.3204,C3H4O2,C20H20O4 / C17H16O2,600000.0 / 1700000.0,5.8778,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,45000,0.45,C18H18O2,1100000,11,C19H18O2,400000,4,C20H16O2,60000,0.6,C10H14O,2200000,22,C12H16O3,13000,0.13,C5H4O,54000,0.54,C6H6O,150000,1.5,11,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,1,C10,C10*1,"cinnamoyl(0.32),decadienoyl(22.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.13)",decadienoyl,A2,B1,C2,none,R37,none,36.3904,A2B1C2,OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00008177,C30H42O9,546.657,Top2,0.622 ,F
14,529.2795,9.6,2.57E+08,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H40O8,possibly known,std_excoecariatoxin (DA03),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H32O4 / C20H24O6,13000.0 / 160000.0,0.3204,C3H4O2,C20H20O4 / C17H16O2,600000.0 / 1700000.0,5.8778,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,45000,0.45,C18H16O1,190000,1.9,C19H20O3,380000,3.8,C20H16O2,60000,0.6,C10H14O,2200000,22,C12H16O3,13000,0.13,C5H4O,54000,0.54,C6H6O,150000,1.5,11,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,"2,4-olefinic",others,1,C10,C10*1,"cinnamoyl(0.32),decadienoyl(22.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.13)",decadienoyl,A3,B1,C2,none,R37,none,27.2904,A3B1C2,OCC12OC1C1C3OC4(C=CC=CCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00008273,C30H42O9,546.657,Top3,0.467 ,F
14,529.2795,9.6,2.57E+08,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H40O8,possibly known,std_excoecariatoxin (DA03),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H32O4 / C20H24O6,13000.0 / 160000.0,0.3204,C3H4O2,C20H20O4 / C17H16O2,600000.0 / 1700000.0,5.8778,none,none,none,none,none,none,none,none,none,none,none,C17H16O1,45000,0.45,C18H18O2,1100000,11,C19H18O2,400000,4,C20H16O2,60000,0.6,C10H14O,2200000,22,C12H16O3,13000,0.13,C5H4O,54000,0.54,C6H6O,150000,1.5,11,others,"5-ol-6,7-ene","9,13,14-orthoester",no C-12,no C-18,"2,4-olefinic",others,1,C10,C10*1,"cinnamoyl(0.32),decadienoyl(22.00),8-methoxy-9-hydroxy-2-4-6-dodecatrienoyl(0.13)",decadienoyl,none,B3,C1,none,R37,none,24.4904,none,,,,0,Top4,0.419 ,F
15,533.3104,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none,none,none,none,C17H16O2,2800000,28,C18H18O1,260000,2.6,C19H18O2,780000,7.8,C20H16O2,120000,1.2,C10H18O,180000,1.8,none,none,none,C5H4O,42000,0.42,none,none,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,"decanoyl(4.19),decanoyl(1.80)",decanoyl,A1,B1,C1,none,R9,none,61.9938,A1B1C1,OCC12OC1C1C3OC4(CCCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007573,C30H44O8,532.674,Top1,1.000 ,T
15,533.3104,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,100000,1,C18H18O2,1500000,15,C19H18O3,280000,2.8,C20H16O2,120000,1.2,C10H18O,180000,1.8,none,none,none,C5H4O,42000,0.42,none,none,none,9,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C10,C10*1,"decanoyl(4.19),decanoyl(1.80)",decanoyl,A2,B1,C2,none,R9,none,22.9938,A2B1C2,OCC12OC1C1C3OC4(CCCCCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00008149,C30H46O9,550.689,Top2,0.371 ,F
15,533.3104,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none,none,none,none,C17H18O2,77000,0.77,C18H18O2,1500000,15,C19H20O3,800000,8,C20H16O2,120000,1.2,C10H18O,180000,1.8,none,none,none,C5H4O,42000,0.42,none,none,none,9,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,"decanoyl(4.19),decanoyl(1.80)",decanoyl,A2,B1,C1,none,R9,none,22.5338,A2B1C1,OCC12OC1C1C3OC4(CCCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007669,C30H46O8,534.69,Top3,0.363 ,F
15,533.3104,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none,none,none,none,C17H18O3,100000,1,C18H18O1,260000,2.6,C19H20O3,800000,8,C20H16O2,120000,1.2,C10H18O,180000,1.8,none,none,none,C5H4O,42000,0.42,none,none,none,9,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",with C-12,no C-18,others,others,1,C10,C10*1,"decanoyl(4.19),decanoyl(1.80)",decanoyl,A3,B1,C2,none,R9,none,10.5938,A3B1C2,OCC12OC1C1C3OC4(CCCCCCCCC)OC3(C(=C)C)C(O)C(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00008245,C30H46O9,550.689,Top4,0.171 ,F
15,533.3104,11.6,8.77E+08,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none,none,none,none,C17H18O2,77000,0.77,C18H18O1,260000,2.6,C19H18O2,780000,7.8,C20H16O2,120000,1.2,C10H18O,180000,1.8,none,none,none,C5H4O,42000,0.42,none,none,none,9,"1,2-en-3-ol","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C10,C10*1,"decanoyl(4.19),decanoyl(1.80)",decanoyl,A3,B1,C1,none,R9,none,10.1338,A3B1C1,OCC12OC1C1C3OC4(CCCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(O)C1(O)C2O,PD00007765,C30H46O8,534.69,Top5,0.163 ,F
57,547.3266,12.7,2.88E+09,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C31H46O8,possibly known,std_daphnepedunin I (DA05),[M+H]+,none,none,none,none,none,C11H22O2,C31H46O8 / C20H24O6,420000.0 / 62000.0,0.9696,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,340000.0 / 650000.0,3.0438,none,none,none,none,none,none,none,none,none,none,none,C17H16O2,650000,6.5,C18H18O1,84000,0.84,C19H18O3,83000,0.83,C20H16O2,28000,0.28,C11H20O,51000,0.51,none,none,none,none,none,none,none,none,none,9,"1,2-en-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C11,C11*1,"undecanoyl(0.97),undecanoyl(0.51)",undecanoyl,A1,B1,C1,none,R10,none,14.4796,A1B1C1,OCC12OC1C1C3OC4(CCCCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1C=C(C)C(=O)C1(O)C2O,PD00007574,C31H46O8,546.701,Top1,1.000 ,T
57,547.3266,12.7,2.88E+09,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C31H46O8,possibly known,std_daphnepedunin I (DA05),[M+H]+,none,none,none,none,none,C11H22O2,C31H46O8 / C20H24O6,420000.0 / 62000.0,0.9696,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,340000.0 / 650000.0,3.0438,none,none,none,none,none,none,none,none,none,none,none,C17H18O2,26000,0.26,C18H18O2,400000,4,C19H20O3,210000,2.1,C20H16O2,28000,0.28,C11H20O,51000,0.51,none,none,none,none,none,none,none,none,none,9,"1,2-dihydro-3-one","5-ol-6,7-epoxy","9,13,14-orthoester",no C-12,no C-18,others,others,1,C11,C11*1,"undecanoyl(0.97),undecanoyl(0.51)",undecanoyl,A2,B1,C1,none,R10,none,5.9996,A2B1C1,OCC12OC1C1C3OC4(CCCCCCCCCC)OC3(C(=C)C)CC(C)C1(O4)C1CC(C)C(=O)C1(O)C2O,PD00007670,C31H48O8,548.717,Top2,0.414 ,F
