row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
12,585.3414,8.7,95600000.0,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D,19,0,D,C34H48O8,possibly known,std_huratoxin (DA06),[M+H-H2O]+,"12, 59",none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,130000.0 / 180000.0,1.172,none,none,none,none,none,none,none,none
13,633.3262,7.4,59200000.0,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D,20,0,D,C34H48O11,possibly known,std_stelleralide K (DA14),[M+H]+,"13, 60",none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,170000.0 / 86000.0,0.7728,C2H4O2,C22H24O7 / C20H20O5,27000.0 / 170000.0,0.4017,none,none,none,none
14,529.2795,9.6,257000000.0,DA03_excoecariatoxin (WLI-k),C=C(C)C12CC(C)C34OC(C=CC=CCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H40O8,possibly known,std_excoecariatoxin (DA03),[M+H]+,none,none,none,none,none,none,none,none,none,C9H8O2,C29H32O4 / C20H24O6,13000.0 / 160000.0,0.3204,C3H4O2,C20H20O4 / C17H16O2,600000.0 / 1700000.0,5.8778,none,none,none,none,none,none,none,none
15,533.3104,11.6,877000000.0,DA04_simplexin (WSC-n),C=C(C)C12CC(C)C34OC(CCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C30H44O8,possibly known,"wikstroelide E, std_simplexin (DA04)",[M+H]+,none,C10H20O2,C30H44O8 / C20H24O6,1900000.0 / 240000.0,4.1938,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,1400000.0 / 2800000.0,12.6,none,none,none,none,none,none,none,none
16,719.3053,9.0,723000000.0,DA26_acutilobin C (DOL-K),C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)c(OC)c1,D,14,0,D,C40H46O12,possibly known,std_acutilobin C (DA26),[M+H]+,none,C10H10O4,C30H32O10 / C20H22O6,930000.0 / 790000.0,7.396,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,2100000.0 / 1400000.0,12.5,none,none,none,none,none,none,none,none
22,675.3156,11.5,1060000000.0,"DA22_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E)-decadienylidyne-5b,12b-dihydroxyresiniferonol-6ﾎｱ,7ﾎｱ-oxide (DOSO-M)",C=C(C)C12OC3(C=CC=CC=CCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccccc1,D,12,0,D,C39H46O10,possibly known,"std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5ﾎｲ,12ﾎｲ-dihydroxyresiniferonol-6ﾎｱ,7ﾎｱ-oxide (DA22)",[M+H]+,none,C10H20O2,C27H32O5 / C17H12O3,17000.0 / 19000.0,0.162,none,none,none,none,C9H8O2,C29H26O6 / C20H18O4,43000.0 / 1200000.0,2.1718,C3H4O2,C20H20O5 / C17H16O3,930000.0 / 640000.0,5.7323,none,none,none,none,none,none,none,none
23,647.2843,9.6,1480000000.0,DA17_gniditrin (DOSO-N),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=CC=CCCC,D,14,0,D,C37H42O10,possibly known,"altadaphnan C, std_yuanhuajine (DA16), daphne factors P1, std_gniditrin (DA17), odoratrin",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,750000.0 / 16000000.0,29.6892,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,9500000.0 / 16000000.0,84.4481,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,1500000.0 / 11000000.0,24.8016
24,721.3205,9.8,652000000.0,DA27_acutilobin D (DOL-I),C=C(C)C12OC3(C=CC=CCCCCC)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=Cc1ccc(O)c(OC)c1,D,12,0,D,C40H48O12,possibly known,std_acutilobin D (DA27),[M+H]+,none,C10H10O4,C30H32O10 / C20H22O6,18000.0 / 21000.0,0.169,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,74000.0 / 50000.0,0.447,none,none,none,none,none,none,none,none
28,693.3252,8.0,503000000.0,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D,18,0,D,C39H48O11,possibly known,std_daphneodorin G (DA25),[M+H]+,"28, 80",none,none,none,none,none,none,none,none,C9H8O2,C39H48O11 / C30H40O9,1100000.0 / 470000.0,4.3549,C3H4O2,C20H20O5 / C17H16O3,1100000.0 / 470000.0,4.3549,none,none,none,none,none,none,none,none
29,653.3314,9.2,2110000000.0,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D,9,0,D,C37H48O10,possibly known,"std_daphneodorin H (DA19), wikstroelide O, genkwanine E, genkwanine C",[M+H]+,"29, 61",C10H10O4,C27H30O6 / C17H20O2,290000.0 / 27000.0,0.596,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,250000.0 / 27000.0,0.5306,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,290000.0 / 250000.0,2.3516
