No.,Compound Name,Std-Rt,Type,M,M+NH3,M+CH3NH2
76,altadaphnan B,none,D,C37H44O10,C37H47O10N1,C38H49O10N
77,isoyuanhuacine,none,D,C37H44O10,C37H47O10N1,C38H49O10N
78,gnididin,none,D,C37H44O10,C37H47O10N1,C38H49O10N
79,hirsein A,none,D,C37H44O10,C37H47O10N1,C38H49O10N
80,daphne factors P2,none,D,C37H44O10,C37H47O10N1,C38H49O10N
81,tanguticanine C,none,D,C35H40O12,C35H43O12N1,C36H45O12N
82,genkwanine C,none,D,C37H48O10,C37H51O10N1,C38H53O10N
83,genkwanine E,none,D,C37H48O10,C37H51O10N1,C38H53O10N
84,(DA20)std_mezerein,8.64,D,C38H38O10,C38H41O10N1,C39H43O10N
85,genkwanine F,none,D,C37H50O10,C37H53O10N1,C38H55O10N
86,yuanhuakine B,none,D,C37H50O10,C37H53O10N1,C38H55O10N
87,neogenkwanine C,none,D,C37H50O10,C37H53O10N1,C38H55O10N
88,neogenkwanine D,none,D,C37H50O10,C37H53O10N1,C38H55O10N
89,neogenkwanine E,none,D,C37H50O10,C37H53O10N1,C38H55O10N
90,neogenkwanine F,none,D,C37H50O10,C37H53O10N1,C38H55O10N
91,genkwanine B,none,D,C37H50O10,C37H53O10N1,C38H55O10N
92,genkwanine G,none,D,C37H52O10,C37H55O10N1,C38H57O10N
93,wikstroelide B,none,D,C37H52O10,C37H55O10N1,C38H57O10N
94,wikstroelide J,none,D,C36H52O11,C36H55O11N1,C37H57O11N
95,acutilobin B,none,D,C37H42O11,C37H45O11N1,C38H47O11N
96,acutilobin A,none,D,C37H42O11,C37H45O11N1,C38H47O11N
97,tanguticanine B,none,D,C37H44O11,C37H47O11N1,C38H49O11N
98,genkwadane H,none,D,C37H46O11,C37H49O11N1,C38H51O11N
99,tianchaterpene B,none,D,C37H46O11,C37H49O11N1,C38H51O11N
100,yuanhuaoate E,none,D,C37H46O11,C37H49O11N1,C38H51O11N
101,yuanhuakine A,none,D,C37H46O11,C37H49O11N1,C38H51O11N
102,daphgenkin A,none,D,C37H46O11,C37H49O11N1,C38H51O11N
103,daphnane-type diterpene ester-7 (daphgenkin B),none,D,C37H46O11,C37H49O11N1,C38H51O11N
104,genkwanine J,none,D,C37H52O11,C37H55O11N1,C38H57O11N
105,kirkinine,none,D,C38H56O10,C38H59O10N1,C39H61O10N
106,acutilobin E,none,D,C37H38O12,C37H41O12N1,C38H43O12N
107,tanguticanine D,none,D,C37H44O12,C37H47O12N1,C38H49O12N
108,wikstrotoxin C,none,D,C38H52O11,C38H55O11N1,C39H57O11N
109,genkwadane G,none,D,C37H48O12,C37H51O12N1,C38H53O12N
110,tanguticanine E,none,D,C38H46O12,C38H49O12N1,C39H51O12N
111,hirsein B,none,D,C39H50O11,C39H53O11N1,C40H55O11N
112,daphnegiraldifin,none,D,C43H60O9,C43H63O9N1,C44H65O9N
113,"1,2α-dihydro-20-palmitoyldaphnetoxin",none,D,C43H62O9,C43H65O9N1,C44H67O9N
114,genkwanine N 20-palmitate,none,D,C50H68O10,C50H71O10N1,C51H73O10N
115,genkwadaphnin-20-palmitate,none,D,C50H64O11,C50H67O11N1,C51H69O11N
116,wikstroelide C,none,D,C51H76O11,C51H79O11N1,C52H81O11N
117,gnidicin-20-palmitate,none,D,C52H66O11,C52H69O11N1,C53H71O11N
118,wikstroelide D,none,D,C52H80O11,C52H83O11N1,C53H85O11N
119,tanguticacine,none,D,C53H72O11,C53H75O11N1,C54H77O11N
120,gnidilatidin 20-palmitate,none,D,C53H74O11,C53H77O11N1,C54H79O11N
121,wikstroelide I,none,D,C53H82O11,C53H85O11N1,C54H87O11N
122,daphnopsis factor R1/gnilatimacrin,none,D,C37H50O9,C37H53O9N1,C38H55O9N
123,pimelea factor P3 (daphnopsis factor R5),none,D,C37H50O9,C37H53O9N1,C38H55O9N
124,genkwadane B,none,D,C37H50O9,C37H53O9N1,C38H55O9N
125,linimacrin a,none,D,C39H52O11,C39H55O11N1,C40H57O11N
126,linimacrin d,none,D,C39H52O11,C39H55O11N1,C40H57O11N
127,stelleralide B,none,D,C44H54O11,C44H57O11N1,C45H59O11N
128,kraussianin,none,D,C37H50O10,C37H53O10N1,C38H55O10N
129,linimacrin c,none,D,C37H50O10,C37H53O10N1,C38H55O10N
130,wikstroelide X,none,D,C37H50O10,C37H53O10N1,C38H55O10N
131,stelleramacrin,none,D,C37H50O11,C37H53O11N1,C38H55O11N
132,stelleralide A,none,D,C39H52O12,C39H55O12N1,C40H57O12N
133,simpleximacrin,none,D,C46H56O14,C46H59O14N1,C47H61O14N
134,gnidimacrin-20-palmitate,none,D,C60H84O13,C60H87O13N1,C61H89O13N
135,(DA54)std_stelleralide F,7.98,MD,C46H56O14,C46H59O14N1,C47H61O14N
136,daphnopsis factor R6,none,D,C37H50O8,C37H53O8N1,C38H55O8N
137,daphnopsis factor R7,none,D,C30H46O7,C30H49O7N1,C31H51O7N
138,wikstroelide E,none,D,C30H44O8,C30H47O8N1,C31H49O8N
139,wikstroelide O,none,D,C37H48O10,C37H51O10N1,C38H53O10N
140,wikstroelide G,none,D,C53H78O11,C53H81O11N1,C54H83O11N
141,wikstroelide K,none,D,C53H78O11,C53H81O11N1,C54H83O11N
142,stellejasmin B,none,D,C37H48O11,C37H51O11N1,C38H53O11N
143,wikstroelide S,none,D,C37H52O10,C37H55O10N1,C38H57O10N
144,genkwadane C,none,D,C37H52O10,C37H55O10N1,C38H57O10N
145,wikstroelide T,none,D,C39H54O10,C39H57O10N1,C40H59O10N
146,wikstroelide R,none,D,C37H52O11,C37H55O11N1,C38H57O11N
147,pimelotide B,none,D,C32H44O11,C32H47O11N1,C33H49O11N
148,pimelotide D,none,D,C32H44O11,C32H47O11N1,C33H49O11N
149,stelleralide D,none,D,C53H76O12,C53H79O12N1,C54H81O12N
150,stelleralide E,none,D,C55H76O12,C55H79O12N1,C56H81O12N
151,kirkinine B,none,D,C36H54O8,C36H57O8N1,C37H59O8N
152,kirkinine E,none,D,C36H54O9,C36H57O9N1,C37H59O9N
153,kirkinine C,none,D,C38H56O10,C38H59O10N1,C39H61O10N
154,20-O-hexadecanoylkirkinine B,none,D,C52H84O9,C52H87O9N1,C53H89O9N
155,synaptolepis factor K1,none,D,C36H54O8,C36H57O8N1,C37H59O8N
156,(DA02)std_daphnepedunin J,10.15,D,C29H42O8,C29H45O8N1,C30H47O8N
157,(DA05)std_daphnepedunin I,12.7,D,C31H46O8,C31H49O8N1,C32H51O8N1
158,(DA04)std_simplexin,11.6,D,C30H44O8,C30H47O8N1,C31H49O8N
159,(DA03)std_excoecariatoxin,9.5,D,C30H40O8,C30H43O8N1,C31H45O8N
160,(DA06)std_huratoxin,13.73,D,C34H48O8,C34H51O8N1,C35H53O8N
161,(DA09)std_wikstrotoxin A,14.52,D,C35H50O8,C35H53O8N1,C36H55O8N
162,(DA13)std_wikstroelide H,11.17,D,C34H46O10,C34H49O10N1,C35H51O10N
163,(DA15)std_wikstroelide A,13.31,D,C36H50O10,C36H53O10N1,C37H55O10N
164,(DA18)std_yuanhuacine,10.83,D,C37H44O10,C37H47O10N1,C38H49O10N
165,(DA16)std_yuanhuajine,9.94,D,C37H42O10,C37H45O10N1,C38H47O10N
166,"(DA21)std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E)-decadienylidyne-5β,12β-dihydroxyresiniferonol-6α,7α-oxide",10.7,D,C39H44O10,C39H47O10N1,C40H49O10N
167,"(DA22)std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5β,12β-dihydroxyresiniferonol-6α,7α-oxide",11.49,D,C39H46O10,C39H49O10N1,C40H51O10N
168,(DA24)std_daphneodorin D,9.97,D,C39H46O11,C39H49O11N1,C40H51O11N
169,(DA23)std_daphneodorin E,9.18,D,C39H44O11,C39H47O11N1,C40H49O11N
170,(DA27)std_acutilobin D,9.77,D,C40H48O12,C40H51O12N1,C41H53O12N
171,(DA26)std_acutilobin C,9.01,D,C40H46O12,C40H49O12N1,C41H51O12N
172,(DA17)std_gniditrin,9.59,D,C37H42O10,C37H45O10N1,C38H47O10N
173,(DA11)std_wikstroelide M,8.72,D,C34H50O9,C34H53O9N1,C35H55O9N
174,(DA14)std_stelleralide K,7.43,D,C34H48O11,C34H51O11N1,C35H53O11N
175,(DA25)std_daphneodorin G,7.99,D,C39H48O11,C39H51O11N1,C40H53O11N
176,(DA28)std_daphneodorin F,5.4,D,C40H48O13,C40H51O13N1,C41H53O13N
177,neogenkwanine G,none,D,C34H40O10,C34H43O10N1,C35H45O10N
178,(DA19)std_daphneodorin H,9.15,D,C37H48O10,C37H51O10N1,C38H53O10N
179,(DA12)std_genkwanine H,8.32,D,C34H40O10,C34H43O10N1,C35H45O10N
180,onishibarin A,none,D,C38H40O10,C38H43O10N1,C39H45O10N
181,onishibarin B,none,D,C38H42O9,C38H45O9N1,C39H47O9N
182,onishibarin C,none,D,C34H40O10,C34H43O10N1,C35H45O10N
183,daphnexyane A,none,D,C37H42O11,C37H45O11N1,C38H47O11N
185,(DA31)std_pimelea factor S6,9.21,MD,C30H44O8,C30H47O8N1,C31H49O8N
186,(DA30)std_pimelea factor S7,9.22,MD,C30H44O8,C30H47O8N1,C31H49O8N
187,(DA41)std_wikstroelide F,10.46,MD,C37H48O10,C37H51O10N1,C38H53O10N
188,(DA45)std_daphnepedunin D,5.51,MD,C37H48O11,C37H51O11N1,C38H53O11N
189,(DA34)std_daphnepedunin B,5.98,MD,C30H44O9,C30H47O9N1,C31H49O9N
190,(DA35)std_daphnepedunin A,5.58,MD,C30H44O9,C30H47O9N1,C31H49O9N
191,(DA36)std_daphnepedunin G,5.36,MD,C30H44O9,C30H47O9N1,C31H49O9N
192,(DA37)std_daphnepedunin H,5.42,MD,C30H44O9,C30H47O9N1,C31H49O9N
193,(DA29)std_daphnepedunin C,8.36,MD,C29H42O8,C29H45O8N1,C30H47O8N
194,(DA50)std_stelleralide H,9.57,MD,C44H54O12,C44H57O12N1,C45H59O12N
195,(DA51)std_gnidimacrin,10.24,MD,C44H54O12,C44H57O12N1,C45H59O12N
196,(DA38)std_wikstromacrin,12.5,MD,C37H50O9,C37H53O9N1,C38H55O9N
197,(DA39)std_pimela factor P2,13.3,MD,C37H50O9,C37H53O9N1,C38H55O9N
198,(DA55)std_stelleralide G,10.15,MD,C51H58O14,C51H61O14N1,C52H63O14N
199,(DA56)std_daphneodorin A,8.95,MD,C53H60O16,C53H63O16N1,C54H65O16N
200,(DA57)std_daphneodorin B,8.18,MD,C55H62O18,C55H65O18N1,C56H67O18N
201,(DA58)std_daphneodorin C,7.61,MD,C55H62O18,C55H65O18N1,C56H67O18N
202,(DA32)std_pimelotide A,9.31,MD,C30H42O9,C30H45O9N1,C31H47O9N
203,(DA33)std_pimelotide C,8.32,MD,C30H42O9,C30H45O9N1,C31H47O9N
204,(DA43)std_stelleralide C,10.68,MD,C37H46O11,C37H49O11N1,C38H51O11N
205,(DA44)std_daphnepedunin E,10.5,MD,C37H46O11,C37H49O11N1,C38H51O11N
206,(DA53)std_daphnepedunin F,10.94,MD,C44H50O13,C44H53O13N1,C45H55O13N
207,(DA40)std_edgeworthianin D,10.96,MD,C36H52O10,C36H55O10N1,C37H57O10N
208,(DA47)std_edgeworthianin E,11.04,MD,C40H58O12,C40H61O12N1,C41H63O12N
209,(DA42)std_edgeworthianin A,10.93,MD,C36H50O11,C36H53O11N1,C37H55O11N
210,(DA48)std_edgeworthianin B,11.65,MD,C40H56O13,C40H59O13N1,C41H61O13N
211,(DA52)std_edgeworthianin C,12.13,MD,C43H54O13,C43H57O13N1,C44H59O13N
212,(DA49)std_edgeworthianin G,12.31,MD,C41H58O13,C41H61O13N1,C42H63O13N
213,(DA46)std_edgeworthianin F,10.24,MD,C38H54O12,C38H57O12N1,C39H59O12N
214,tianchaterpene D,none,D,C32H42O10,C32H45O10N1,C33H47O10N
215,tianchaterpene E,none,D,C30H40O9,C30H43O9N1,C35H45O9N
